,name,income,expend
99812,Money Advice Trust,9476479.0,9559512.0
86071,Voiceability Advocacy,9051343.0,8525756.0
102018,Tomorrow's People Trust Limited,9000085.0,7841713.0
96012,The Ramblers' Association,8120000.0,7650000.0
57736,British Refugee Council,8104000.0,8055000.0
98297,British Safety Council,7788556.0,8763263.0
58775,Positive Steps Oldham,7378020.0,7546949.0
69440,Community Security Trust,7176891.0,7226981.0
13352,Shree Swaminarayan Sidhant Sajivan Mandal London,6871279.0,704722.0
89530,Solace Women's Aid,6536287.0,6485974.0
96207,Responsible Gambling Trust,6277934.0,4619949.0
78026,Centre for Effective Dispute Resolution Limited,5841000.0,5768000.0
17722,"The Institute of Materials, Minerals & Mining",5686000.0,6162000.0
106164,Crimestoppers Trust,5416144.0,5297878.0
128206,Age UK Lancashire,5233212.0,5685575.0
57189,The National Youth Advocacy Service,5123969.0,5421079.0
90363,British Limbless Ex-Service Men's Association (Blesma),4823268.0,3603118.0
115736,Action on Armed Violence,4721675.0,4426435.0
26925,Staying First,4581627.0,4374441.0
70528,Oasis Care and Training Agency (Octa),4491335.0,4312040.0
37608,The Lapid Trust,4386037.0,6250.0
78099,Tommy's,4382490.0,3722249.0
100971,Stonewall Equality Limited,4334054.0,3605063.0
84481,Sova,4099825.0,4069387.0
117096,Institute for Government,3930007.0,4400349.0
5403,Prison Advice and Care Trust (Pact),3614000.0,3315000.0
84502,Birmingham and Solihull Women's Aid,3579366.0,3491703.0
11972,Carers UK,3281596.0,4258755.0
89360,Forest Peoples Programme,3203311.0,3087839.0
88488,Seap,3147633.0,3229687.0
51956,The Renal Association,3038400.0,1998388.0
59231,Safer Places,2969978.0,2952497.0
56624,Manchester Citizens Advice Bureaux Service,2900059.0,2811523.0
61139,International Business Leaders Forum,2767492.0,3279922.0
119229,Kusuma Trust UK,2746226.0,2609472.0
72709,Youthnet UK,2675789.0,3056321.0
81836,Smart Criminal Justice Services,2616957.0,2467865.0
75053,Women's Aid Federation of England,2591055.0,2502528.0
57324,The Lucy Faithfull Foundation,2507400.0,2517210.0
54192,Staffordshire North and Stoke-on-Trent Citizens Advice Bureaux,2454447.0,2497008.0
54759,The Nautical Institute,2433938.0,2326408.0
73398,The RCJ Citizens Advice Bureau,2348161.0,2340276.0
23013,Minority Rights Group,2340408.0,2400776.0
45334,Birmingham Citizens Advice Bureau Service Ltd,2288506.0,2081056.0
104863,Safelives,2278462.0,4421770.0
129933,Hay Castle Trust Limited,2252786.0,48950.0
53841,Coventry Citizens Advice Bureau,2205675.0,2459441.0
22604,Coram Children's Legal Centre Limited,2179283.0,2387640.0
29772,Anglia Care Trust,2175773.0,1999328.0
93554,Scidev.net,2120235.0,1830065.0
59127,Business Disability Forum,2117797.0,2115488.0
127360,Girl Effect,2083977.0,2024776.0
77902,Wirral Information Resource for Equality and Diversity Ltd,2067683.0,2351623.0
36183,Krishnamurti Foundation Trust Ltd,2064936.0,1961603.0
71404,Coram Voice (Formerly Voice for the Child in Care),1994412.0,2299809.0
126001,Leeds Met Students' Union,1991487.0,1968363.0
135617,Citizens Advice County Durham,1977077.0,1428638.0
93002,Kirklees Citizens Advice and Law Centre,1970480.0,2002228.0
121716,Institute for Human Rights & Business Limited,1916883.0,1906238.0
104568,The Portland Trust,1850782.0,1906721.0
94549,Remedi - Restorative Services,1830750.0,1793793.0
93111,No Limits (South),1818561.0,1542733.0
120264,N-Compass North West Limited,1817034.0,1897184.0
123138,Leicestershire Citizens Advice Bureau,1799447.0,1730848.0
98516,Cloverleaf Advocacy 2000 Ltd,1798725.0,1791652.0
81961,Haringey Citizens Advice Bureaux,1771161.0,1469522.0
111523,The Prince's Teaching Institute,1755806.0,1508635.0
102865,Thames21 Limited,1739946.0,1732934.0
72796,Anti-Slavery International,1723829.0,2107990.0
56696,Plymouth Citizens Advice Bureaux,1722161.0,1643335.0
50408,Leeds Citizens Advice Bureau,1715639.0,1744128.0
50682,Mid and West Wales Alcohol and Drug Advisory Service,1682216.0,1795884.0
133995,Helen Bamber Foundation,1679452.0,1171075.0
111850,Central and South Sussex Citizens Advice Bureau,1665636.0,1570695.0
90077,Domestic Violence Intervention Project,1652747.0,1613082.0
96258,Women's Aid Integrated Services (Nottingham and Region),1652471.0,1632645.0
26866,Camden Citizens Advice Bureaux Service Limited,1629792.0,1695278.0
127209,Welsh Women's Aid,1628814.0,1607984.0
64770,Sandwell Women's Aid,1604451.0,1636481.0
136771,Sheffield Citizens Advice and Law Centre,1601300.0,1624442.0
80542,"R.I.S.E. (Refuge, Information, Support and Education)",1581353.0,1567462.0
132300,Privacy International,1576682.0,1026169.0
17466,Islington Law Centre,1572484.0,1713035.0
106710,Safer London,1563870.0,1783777.0
96081,Prisoners Abroad,1539328.0,1498084.0
91917,Advance Advocacy and Non-Violence Community Education,1537238.0,1494410.0
10663,Medway League of Friends,1534310.0,1431517.0
97559,Bradford and Airedale Citizens Advice Bureau,1522887.0,1388149.0
50815,Nottingham and District Citizens Advice Bureau,1516003.0,1515941.0
134779,Salvaire,1511227.0,1418156.0
92184,Central England Law Centre Limited,1490416.0,1367762.0
109432,The Equal Rights Trust,1480489.0,1433838.0
120250,Media Legal Defence Initiative,1470260.0,1217068.0
44194,Wolverhampton Citizens Advice Bureaux,1450608.0,1500294.0
82543,Aiw Health,1423065.0,1439128.0
87185,West Mercia Women's Aid,1407201.0,1397127.0
127534,Age UK South Lakeland,1400469.0,1534552.0
81834,Motiv8 South,1384699.0,1335818.0
92655,Nepacs,1383020.0,1334626.0
82471,Southwark Citizens Advice Bureaux Service,1382036.0,1275653.0
120097,Worcester Citizens Advice Bureau and Whabac,1367923.0,1320359.0
113099,Womencentre Limited,1362018.0,1310387.0
