,name,income,expend
70935,People for Animal Care Trust,992374.0,579693.0
92729,London Citizens,989696.0,990792.0
108071,Groundwork South Yorkshire,977741.0,975128.0
132348,Communities First Wessex,974666.0,1052016.0
90180,The Arboricultural Association,970421.0,949288.0
108138,Heeley City Farm,966564.0,859893.0
119204,The Jim Cronin Memorial Fund for Primate Welfare and Conservation,966435.0,50297.0
95959,Bexley Heritage Trust,959822.0,1122362.0
15742,The British Limousin Cattle Society Limited,959289.0,1018935.0
70882,The Wildlife Trusts Wales Limited,953429.0,948918.0
96801,Groundwork North Yorkshire,951689.0,949905.0
57452,The Norden Farm Centre Trust Limited,947635.0,1063378.0
101555,Disp Limited,947111.0,947111.0
27892,Federation of City Farms and Community Gardens,941740.0,1005862.0
22733,The Royal Veterinary College Animal Care Trust,941000.0,830000.0
119373,Gables Farm Dogs and Cats Home,940514.0,694890.0
134170,Wadars,938926.0,425768.0
100457,Worldwide Veterinary Service,932195.0,893841.0
56903,The Wheler Foundation,927289.0,1171855.0
95884,The Froglife Trust,926274.0,874017.0
99394,Blue Ventures Conservation,923285.0,933262.0
19802,1st the Queen's Dragoon Guards Regimental Trust,922739.0,42693.0
6214,Royal Society for the Prevention of Cruelty to Animals Leicestershire Branch,922071.0,1035354.0
114201,Hill Holt Wood,919755.0,915675.0
94276,The Batsford Foundation,913386.0,912792.0
98198,Secret World Wildlife Rescue,908776.0,835711.0
90689,Retraining of Race Horses,908250.0,857181.0
103129,Paces Sheffield,902051.0,773874.0
36383,The New Phytologist Trust,900352.0,726033.0
43760,Malvern Hills Conservators,892029.0,909034.0
137190,Sustainable Travel Collective Ltd,891424.0,762692.0
89308,South Shropshire Furniture Scheme,889785.0,943359.0
4173,Freshwater Biological Association,884827.0,1045486.0
131157,Farming and Wildlife Advisory Group South West Ltd,883675.0,888263.0
120602,Refurnish Devon,878944.0,863808.0
129756,The Waste to Resource Fund,878715.0,30538.0
122731,Severn Rivers Trust,875603.0,600035.0
88442,Manchester Historic Buildings Trust,873976.0,17101.0
36874,Television for the Environment,865905.0,884457.0
8617,"Royal Society for the Prevention of Cruelty to Animals Leeds, Wakefield and District Branch",863758.0,945734.0
25626,Care for the Wild International,860662.0,767590.0
19044,Burton Agnes Hall Preservation Trust Limited,859008.0,885371.0
11161,Gwent Wildlife Trust Ltd,850464.0,848716.0
73303,Rockingham Forest Trust,850271.0,895885.0
112215,The Gorilla Organization,846866.0,940104.0
80020,Emmaus Cambridge,837265.0,839423.0
76680,Furniture Recycling Project,835577.0,718543.0
71130,The Lyons Charitable Trust,833664.0,757770.0
105449,Freshwater Habitats Trust,831908.0,624729.0
2037,Royal Society for the Prevention of Cruelty to Animals Norwich and Mid-Norfolk Branch,828051.0,830055.0
128284,West Cumbria Rivers Trust Limited,822862.0,465180.0
94398,The South East Rivers Trust,815285.0,445704.0
8611,Royal Society for the Prevention of Cruelty to Animals Bradford and District Branch,808969.0,981789.0
104007,Tia Greyhound & Lurcher Rescue,807404.0,694305.0
78363,Berkeley Castle Charitable Trust,804589.0,563665.0
89211,Small Woods Association,802408.0,722373.0
82130,Shoreditch Town Hall Trust,798360.0,748997.0
108575,The Vincent Wildlife Trust,795012.0,726313.0
80019,Emmaus Greenwich,784727.0,585489.0
2551,Royal Society for the Prevention of Cruelty to Animals Middlesex North West Branch,783076.0,805714.0
120641,Jamie's Farm,778805.0,621903.0
26561,Spadework Limited,771207.0,749017.0
8634,Royal Society for the Prevention of Cruelty to Animals Liverpool Branch,768222.0,733750.0
122204,Emerge 3rs,765146.0,859695.0
108766,The Rspca Danaher Animal Home,765117.0,599043.0
115854,Actes Trust,763995.0,1163272.0
69194,West Somerset Railway Association,757196.0,709339.0
11824,The Ferne Animal Sanctuary,754115.0,1067346.0
126480,Changing Lives in Cheshire,751221.0,719041.0
122154,Synchronicity Earth,749940.0,685114.0
106568,Chiswick House and Gardens Trust,746320.0,898890.0
8632,Royal Society for the Prevention of Cruelty to Animals Blackpool and North Lancashire Branch,743621.0,404790.0
6946,Royal Society for the Prevention of Cruelty to Animals Sheffield Branch,742670.0,867290.0
1642,Royal Society for the Prevention of Cruelty to Animals North Somerset Branch,740753.0,656329.0
12322,Neil Wates Charitable Trust,739833.0,765011.0
80634,The Stowe House Preservation Trust,734159.0,648077.0
3525,British Bee Keepers' Association,731858.0,777549.0
112643,Aspire Oxfordshire Community Enterprise Limited,728352.0,661490.0
22380,Great Yarmouth Preservation Trust,722367.0,887714.0
110091,Groundwork Northamptonshire,719372.0,816427.0
20016,Commonwork Land Trust,714570.0,763173.0
44377,Where Next Association,711631.0,745807.0
104656,The Bransford Trust,711328.0,752412.0
22410,The National Equine (And Smaller Animals) Defence League Inc Animals Refuge; Horse Protection Society; Pit Pony League & the Anti- Bearing Rein Assoc,711059.0,794984.0
104378,Kidasha,709293.0,568504.0
2456,Universities Federation for Animal Welfare,708666.0,608634.0
6062,Welsh Pony and Cob Society,708327.0,645748.0
82158,The British Deer Society,704351.0,689222.0
