,name,income,expend
48284,Cwmni Urdd Gobaith Cymru (Corfforedig) / the Welsh League of Youth (Incorporated),9764379.0,8895524.0
2990,Ican Charity,9358000.0,9142000.0
42607,St Cuthberts Care,9304250.0,9248992.0
68598,Place2be,9277000.0,9172000.0
75082,Sheffcare Limited,9271182.0,8657841.0
44045,Neca,9234852.0,8918071.0
1732,Trust for London,9090334.0,14940457.0
16071,L'arche,9049008.0,7522489.0
127827,Imagine Act and Succeed,8934276.0,8522054.0
44713,Compass - Services to Tackle Problem Drug Use,8925803.0,8705282.0
20265,British Association for Adoption and Fostering,8707928.0,8954889.0
66385,"The Council for Awards in Care, Health  and Education",8679000.0,6633000.0
23394,A C O R D,8654000.0,8481000.0
44934,Autism Plus Limited,8627516.0,9070025.0
78569,Pohwer,8611996.0,8543156.0
52099,The Westminster Society for People with Learning Disabilities,8522826.0,8691091.0
109761,Thomas Pocklington Trust Limited,8485000.0,10057000.0
74969,St Vincent De Paul Society (England and Wales),8440091.0,8200209.0
27446,Hearing Dogs for Deaf People,8332956.0,6255590.0
26672,The You Trust,8311000.0,8319000.0
102221,The Whiteley Homes Trust,8297682.0,7637337.0
121133,Avenues London,8267008.0,8005377.0
100506,International Agency for the Prevention of Blindness,8227796.688,5845185.89
131622,Age UK Leicester Shire and Rutland Limited,8176777.0,8251913.0
7459,Strode Park Foundation for People with Disabilities,8109269.0,7876208.0
94866,The Oaklea Trust,7986171.0,8026428.0
84874,Fylde Coast YMCA,7940741.0,8171654.0
107493,UK Youth,7902122.0,8099299.0
55987,Alabare Christian Care Centres,7872629.0,7126262.0
52211,St Giles Trust,7792915.0,6468390.0
28477,Professional Association for Childcare and Early Years,7739961.0,7434605.0
24860,Institute of Integrated Systemic Therapy,7731141.0,7100872.0
93307,Homeless Link,7726661.0,7627090.0
28137,Revitalise Respite Holidays,7724000.0,7723000.0
22872,The I T F Seafarers Trust,7721407.0,995557.0
61624,The County of Northampton Council on Addiction,7460409.0,7408319.0
52852,The Movement for Non-Mobile Children (Whizz-Kidz),7457000.0,7355000.0
72344,Adult Placement Services,7415951.0,7297402.0
51352,Ads (Addiction Dependency Solutions),7314141.0,7450849.0
57636,Aquarius Action Projects,7261671.0,7651296.0
56177,Greater Manchester Accessible Transport Limited,7132843.0,6824759.0
105868,The Royal Air Force Club,7063073.0,6096326.0
52633,Depaul UK,7044634.0,7072952.0
105869,United Utilities Trust Fund,7001894.0,6820090.0
22461,The Fostering Network,6969015.0,6931180.0
107967,Pure Innovations Limited,6939408.0,7012785.0
130314,Royal British Legion Poppy Lottery Limited,6936435.0,6936435.0
40369,South Wales Miners Welfare Trust Fund Scheme,6921552.0,79098.0
34819,Larkfield with Hill Park Autistic Trust Limited,6743450.0,6464949.0
3476,Toynbee Hall,6734000.0,6390000.0
44289,Autism.west Midlands,6704000.0,6234000.0
94387,YMCA Fairthorne Group,6664960.0,6735730.0
44616,Robert Owen Communities,6607264.0,6253391.0
2795,Variety the Children's Charity,6526337.0,6477980.0
28375,Make-a-Wish Foundation UK,6400442.0,7061770.0
61455,Arch Initiatives,6304894.0,6258684.0
79293,Options for Supported Living,6288813.0,5973920.0
107215,The Martin Foundation,6280168.0,6586338.0
28778,Equinox Care,6237162.0,6339200.0
56640,Imagine Independence,6193611.0,6210275.0
92659,Doncaster Deaf Trust,6170000.0,6793000.0
5342,The Royal Leicestershire Rutland and Wycliffe Society for the Blind,6016000.0,5655000.0
75626,Conciliation Resources,5947199.0,4604994.0
67922,Cais Limited,5940912.0,5873301.0
2016,Arthritis Care,5932000.0,4355000.0
60442,Mudiad  Meithrin,5884660.0,6011329.0
22975,Diverse Abilities Plus Ltd.,5851450.0,5912951.0
29574,Freeways,5841000.0,5528000.0
99691,First Initiatives,5830000.0,5565000.0
74583,Bid Services,5811752.0,5834742.0
55638,Avocet Trust,5795715.0,5750170.0
132682,Youth United Foundation,5743793.0,5208477.0
26747,Canterbury Oast Trust,5741999.0,5427023.0
92265,The Supported Fostering Services Charitable Trust,5714484.0,5691411.0
100777,Castel Froma,5706510.0,5261948.0
52456,The Kent Autistic Trust,5667472.0,5339307.0
105224,The Injured Jockeys Fund,5654489.0,3332601.0
91569,YMCA Black Country Group,5537828.0,5377060.0
62781,College Francais Bilingue De Londres Ltd,5482161.0,5465099.0
2267,Relate,5478000.0,5594000.0
133810,Dorothy & Spiro Latsis Benevolent Trust,5473965.0,7712960.0
76929,Christian Blind Mission (United Kingdom) Limited,5405405.0,4418128.0
54498,Jaffray Care Society,5371216.0,5256148.0
87929,Caudwell Children,5336555.0,5141690.0
53614,The White Horse Care Trust,5252510.0,5014304.0
25346,Autism Hampshire,5225149.0,5376721.0
54613,Integrate (Preston and Chorley) Limited,5220294.0,5343089.0
96103,Hafal,5205735.0,5102268.0
24044,Contact a Family,5189276.0,5578496.0
57381,Life Path Trust Limited,5131127.0,5101431.0
