,name,income,expend
32412,The Federation of London Youth Clubs,4884501.0,5265564.0
53065,Northamptonshire Association of Youth Clubs,4557060.0,4532183.0
130162,Orphans in Need,4353572.0,4009363.0
34240,The Army Cadet Force Association,4351366.0,4179891.0
31256,Essex Boys and Girls Clubs,3319862.0,2676076.0
34244,The Boys' Brigade,3178340.0,2917284.0
73804,Bolton Lads and Girls Club Limited,2809597.0,2770982.0
122863,Wigan Boys and Girls Club,2393008.0,1587871.0
32047,Hertfordshire County Scout Council,1912686.0,1812791.0
20795,New Horizon Youth Centre,1549870.0,1727248.0
21475,Anglia Region of the Guide Association,1325426.0,1207324.0
58239,Hampshire County Scout Council,1214832.0,1105664.0
32512,Kent County Scout Council,1157467.0,985474.0
34939,The Guide Association London and South East England Region,1044377.0,1004299.0
115130,Longridge on the Thames,1016077.0,1015159.0
