,name,income,expend
57420,Kent Mediation,10000.0,12717.0
29435,The Downton Moot Preservation Trust Limited,9999.0,13022.0
106005,Alpine Garden Society West Yorkshire Group,9913.0,3594.0
74882,Forty Green Community Hall Trust,9841.0,8398.0
4482,Lincoln Longwool Sheep Breeders' Association,9819.0,7369.0
36793,Gatekeeper Trust,9818.0,10298.0
52694,The British Bazadaise Cattle Society,9808.0,7255.0
101469,The Horse Foundation,9800.0,9805.0
16930,Torrington and District Society,9771.0,8342.0
26314,Pinner and Ruislip Beekeepers Association,9753.0,8957.0
133970,Bredhurst Woodland Action Group,9752.0,14883.0
4653,"Campaign to Protect Rural England, Lincolnshire Branch",9688.0,4035.0
104043,Friends of Petersfield Physic Garden,9683.0,8255.0
128066,Sea-Changers,9676.0,9565.0
91156,Westgate Chapel (Lewes) Trust,9675.0,9027.0
35503,The Crix Green Trust,9675.0,8492.0
82181,C H Harrison Will Trust,9637.0,9613.0
123027,Vale Community Mediation Service,9618.0,11692.0
23716,The Royal Artillery Historical Trust,9611.0,11866.0
135590,The Friends of Upper Wharfedale Fell Rescue Association,9610.0,865.0
106693,Blackwater Valley Countryside Trust,9570.0,10227.0
84081,Coneyberry Millennium Green,9560.0,6093.0
3788,Charity of Joseph Catt,9533.0,12021.0
3916,The Campaign to Protect Rural England - Nottinghamshire,9521.0,11751.0
109135,Noah's Ark Sou'west,9521.0,21355.0
104866,Willow Wildlife and Animal Sanctuary,9515.0,10234.0
125488,Chadlington Village Green,9513.0,3023.0
27987,Thames and Kennet Narrowboat Trust,9510.0,11432.0
3329,Campaign to Protect Rural England Buckinghamshire Branch,9504.0,6548.0
5438,The Staffordshire Branch of the Campaign to Protect Rural England,9501.0,8120.0
15824,The Putney Society,9495.0,8490.0
127902,All About Animals,9490.0,9970.0
3660,The Kent Ornithological Society,9473.0,7670.0
103248,St Albans Signal Box Preservation Trust,9459.0,9212.0
99308,Organisation Cetacea,9449.0,9449.0
85975,Lytham in Bloom Trust,9445.0,7686.0
131373,Keswick Flower Club,9444.0,8171.0
82259,Friends of the Porter Valley,9418.0,10438.0
74382,Sussex Gardens Trust,9415.0,10312.0
42703,Staffordshire Historic Buildings Trust,9406.0,9750.0
89567,The Ad Terrae Gloriam Trust,9405.0,275.0
108598,Deep Release Bursary Fund,9393.0,10300.0
58338,Pitchford and Wilkins Memorial Trust,9347.0,9678.0
117315,The Elkhound Rescue Fund,9311.0,5941.0
127635,Waingroves Community Woodland Trust,9299.0,5742.0
50992,The Shropshire Horticultural Society (Wisley Trainee) Charitable Trust,9295.0,0.0
95056,Cardigan Building Preservation Trust,9284.0,2768.0
90050,Welford on Avon Millennial Project Trust,9283.0,1646.0
75170,Windmill Hill Windmill Trust,9278.0,7647.0
60876,The Bedfordshire Branch of the Campaign to Protect Rural England,9256.0,20512.0
110016,The Friends of Bedford Cemetery (Foster Hill Road),9252.0,1842.0
109629,Ashton Hall Organ Restoration Project,9251.0,7839.0
28317,Oxford Ornithological Society,9243.0,11821.0
50982,Pet Aid Society,9233.0,8673.0
84876,Swanley Village Trust,9176.0,10733.0
113975,The River Gipping Trust Ltd,9173.0,9186.0
119928,Central Cat Rescue,9162.0,9565.0
115631,Birds' Edge Countryside (Becside) Charitable Trust,9158.0,9898.0
81026,Yorkshire Animal Shelter,9139.0,13143.0
100035,BH Community UK,9097.0,4135.0
77959,The Sleaford Navigation Trust,9073.0,2428.0
121147,Friends of Wessex Assisting Dogs,9068.0,4856.0
2066,Wood Green (Urban District) Charity,9045.0,12043.0
124098,The Rainbow Reclamation Trust,9028.0,774.0
57409,Cotswold Sheep Society,9014.0,7406.0
97366,The Ten-Percent Foundation,9000.0,10550.0
5283,Campaign to Protect Rural England (Shropshire Branch),8992.0,6969.0
18369,Newton Green Trust,8980.0,13805.0
120341,The Keith Baker Charitable Will Trust 2007,8958.0,574520.0
14441,The Worthing and District Animal Rescue Service,8951.0,1299249.0
115578,The Wild England Fund,8950.0,671.0
52635,The Benindi Fund,8948.0,163113.0
105916,Shropshire Mines Trust Ltd,8938.0,8690.0
82355,The World Association for Transport Animal Welfare and Studies,8933.0,8712.0
43208,North Derbyshire Miners' Welfare Trust Fund Scheme,8926.0,18159.0
99053,Aristocat Rescue,8911.0,8351.0
22078,Coltishall Commons Management Trust,8910.0,8424.0
19540,The St Marylebone Society,8876.0,9911.0
131771,The Reptile Rescue Centre Ltd,8875.0,9010.0
45059,The Wirral Animal Welfare Association,8798.0,4600.0
14931,Caldon and Uttoxeter Canals Trust,8792.0,7390.0
104254,Gentle Touch Healing Associates Limited,8786.0,10506.0
121973,Roundhay Environmental Action Project,8756.0,5582.0
129220,Harper Asprey Wildlife Rescue,8750.0,20016.0
52202,Spaywatch,8738.0,49936.0
134202,Bramford Open Spaces Ltd,8735.0,5430.0
62565,British Yemeni Society,8703.0,8415.0
1512,"Okewood, Forest Green and Ockley Aid in Sickness Fund",8692.0,7046.0
128350,Sheffield Conversation Club,8689.0,5269.0
83309,The Gish Foundation,8687.0,7301.0
127918,Mediation First,8670.0,10226.0
1704,"Beatrice Elliott Cook, for a Quiet Open Space for Adults",8670.0,892.0
111475,Al Hafiz Trust,8655.0,13145.0
120850,The Locomotive Conservation and Learning Trust,8644.0,365.0
52248,Suffolk Ornithologists' Group,8636.0,8026.0
119654,Ashdown Forest Riding Group,8628.0,7849.0
120744,Nettleham Woodland Trust,8615.0,6951.0
85557,Mawdesley Millennium Green Trust,8615.0,9895.0
103296,Honeyguide Wildlife Trust Limited,8615.0,8730.0
114296,Silver Florin Equine Welfare,8614.0,8614.0
134918,Butterfly Giving,8610.0,4473.0
101084,Nsarda Kent,8594.0,6450.0
95950,Foulness Conservation & Archaeological Society,8582.0,7397.0
92836,Magic Gardens Project,8576.0,14887.0
22423,Trust to Preserve the History of 6th Airborne Division's Assault Into Normandy,8568.0,6045.0
113039,Jack and Jill Windmills Society,8564.0,5299.0
22318,The Sandgate Society,8554.0,6375.0
135490,The Primate Trust,8552.0,1382.0
98702,The Pinewoods Conservation Group,8544.0,1426.0
23914,Oromo Relief Association,8539.0,6206.0
89102,Flintshire Wildlife and Pet Rescue,8530.0,6995.0
114216,Living Witness Project,8492.0,12241.0
19727,Murray Grey Beef Cattle Society,8465.0,8062.0
106666,Amazing Play,8460.0,6757.0
37912,The Worcester/Birmingham and Droitwich Canals Society,8448.0,7212.0
110315,The Doddington Hall Conservation Charity,8436.0,278.0
27639,The Class 15 Preservation Society,8434.0,8755.0
101391,Friends of Valentines Mansion,8432.0,2856.0
108186,The Cambridge Trust for New Thinking in Economics,8412.0,9012.0
45459,The Waltham Windmill Preservation Society,8409.0,34028.0
37832,National Fruit Collections Trust,8389.0,19633.0
2953,Golders Green Foundation,8386.0,1899.0
51357,The Sankey Canal Restoration Society,8383.0,3143.0
74408,Stone Cross Mill Trust,8355.0,4662.0
5179,Cpre Cornwall,8323.0,1179.0
100896,Mike Thurston Water Activities Centre,8311.0,9239.0
38875,The Driffield Navigation Trust,8309.0,5267.0
54099,Framlingham Livestock Association,8297.0,7084.0
113382,Golden Retriever Rescue Cymru,8284.0,7306.0
25005,Croydon Airport Society,8277.0,11534.0
18936,Sudbury and District Horticultural Society,8272.0,2323.0
51320,Cheshire and Wirral Ornithological Society,8268.0,7851.0
77588,Somerset Group of the National Council for the Conservation of Plants and Gardens (Nccpg),8251.0,9883.0
81467,The Whiteburnshank Trust,8244.0,7276.0
108243,Moggies in Need,8233.0,8174.0
79855,The Friends of the Victoria Pavillion Morecambe,8224.0,10977.0
106227,Friends of RSVP West Region,8210.0,11450.0
133550,Mohanji Act Foundation,8191.0,4922.0
61493,Wyre Animal Welfare,8175.0,14765.0
71379,Hedgehog Helpline,8168.0,2702.0
40032,Ceiriog Valley Sheep Dog Society,8167.0,8058.0
114184,Fernhurst Furnace Preservation Group Ltd,8139.0,2555.0
38205,The Brindley Mill Preservation Trust,8130.0,9606.0
93816,The Royal Hall Restoration Trust,8130.0,15686.0
130351,Chiltern Child Contact Centre,8129.0,5563.0
4342,Campaign to Protect Rural England - Isle of Wight Branch,8104.0,4680.0
123456,The Martinsey Isle Trust,8090.0,9745.0
86336,Heathfield and Waldron Millennium Green Trust,8043.0,6435.0
72361,Bergh Apton Conservation Trust,8030.0,1001.0
29575,Friends of Brompton Cemetery,8021.0,12784.0
130249,Friends of St. Mary's Totnes,7994.0,7166.0
20252,Isle of Thanet Archaeological Society,7970.0,6815.0
17017,The Sussex Industrial Archaeology Society,7966.0,6657.0
136673,Maple Lodge Conservation Society,7962.0,6938.0
75863,Towyn Abergele and District Cats Welfare Group,7960.0,8426.0
95070,Friends of Sugar Mill Ponds,7949.0,7412.0
42699,South Tyneside Animal Rescue,7928.0,27302.0
104834,The Cliddesden Community Conservation Group,7925.0,9819.0
89732,The Centaur Trust,7925.0,7408.0
12404,Surrey Bird Club,7905.0,5063.0
106205,Tanat Valley Light Railway Company Limited,7903.0,8792.0
108049,Tyne Tees Animal Trust,7900.0,8010.0
121276,Southport and Ormskirk Bantam Society,7894.0,6726.0
52018,Cornwall Gardens Trust,7894.0,6606.0
82427,Mattishall and Lenwade Surgeries Equipment Fund,7885.0,0.0
107578,Lowland Search Dogs (Sussex),7876.0,3959.0
86567,Honiton Millennium Green,7875.0,7875.0
110120,Llanilltyd Fawr in Flower,7875.0,4455.0
123971,Saturation Trust,7866.0,7716.0
103095,Veterinary Assist Charitable Trust,7824.0,8039.0
52649,Taj Trust,7822.0,19763.0
116537,Essex County Preservation Trust,7800.0,8325.0
43758,The Mill Meece Pumping Station Preservation Trust Limited,7798.0,9464.0
57565,West of England Eye Infirmary Trust,7796.0,5745.0
25645,The Ayots Horticultural Society,7778.0,6870.0
125045,Gloucestershire Orchard Trust,7765.0,3237.0
58927,British Rouge De L'ouest Sheep Society,7763.0,11093.0
40998,Teesmouth Bird Club,7737.0,8034.0
42927,Cwmdu Water Undertaking,7733.0,5875.0
57741,Gwent Beekeepers Association,7732.0,5396.0
125364,The Beechgrove Charitable Trust,7723.0,40061.0
133525,The Rumba Foundation,7701.0,4062.0
59974,Shackleton Preservation Trust,7684.0,7585.0
121529,Partridge Green Area Response Team,7684.0,3172.0
82376,Kingsland Millennium Green,7652.0,4646.0
92547,Help Help Dog Rescue (Wales),7640.0,2885.0
20949,The Dunstable Priory Preservation Trust,7633.0,13439.0
58551,Newbury and District Beekeeper's Association,7633.0,6957.0
106783,Mona-UK,7627.0,5567.0
122226,Palm,7611.0,4184.0
13621,Nottinghamshire Building Preservation Trust Ltd,7603.0,24494.0
121972,The Westmill Sustainable Trust,7599.0,3515.0
16871,The Siddons Charitable Trust,7598.0,14872.0
114104,The Shelsley Watermill Society,7584.0,3501.0
131976,Be as One Foundation,7583.0,3994.0
3867,Georgian Society for East Yorkshire,7583.0,7263.0
97076,Lyn Community Development Trust,7539.0,14765.0
41754,Herefordshire Beekeepers' Association,7538.0,5255.0
28924,The Green Wicket Sanctuary,7526.0,14222.0
130320,Engineering 4 Everyone,7500.0,7500.0
126020,Derbyshire Bat Conservation Group,7487.0,3246.0
131022,The Friends of Oakfrith Wood,7484.0,4822.0
103509,Furness and District Beekeepers Association,7471.0,7013.0
81297,London Bat Group,7434.0,7310.0
122850,The Ecology Building Society Charitable Foundation,7431.0,10164.0
68823,Divorce Recovery Workshop,7410.0,11433.0
85103,Piddlehinton Millennium Green Trust,7406.0,9778.0
55726,The Hodson's Horse British Officers Memorial Trust,7401.0,4133.0
81597,Herefordshire Ornithological Club,7401.0,4842.0
109232,Foxhole Village Green,7396.0,9085.0
27566,Kent Field Club,7394.0,7275.0
78425,Cats in Need Cyprus,7388.0,5494.0
78641,The Community Tree Trust Ltd,7386.0,5384.0
102984,Italian Greyhound Rescue,7377.0,12007.0
30161,Colemans Hatch Horticultural Society,7375.0,6359.0
114574,Environclean Community Group,7371.0,4852.0
75989,Cardiff Conservation Volunteers,7364.0,6144.0
110843,Betty and Bernard Davidson Trust,7360.0,80359.0
75377,The Bude Canal Trust Limited,7327.0,4308.0
80454,Oxford Conservation Volunteers,7324.0,4271.0
90721,Meldon Viaduct Company Limited,7289.0,17.0
64694,Cat Call,7282.0,15377.0
91179,Mullion in Bloom Association,7272.0,5452.0
25908,Dittons and Weston Green Neighbourcare,7247.0,5753.0
102131,Friends of Newport Transporter Bridge,7245.0,5509.0
87512,Garstang Millennium Green Trust,7219.0,3927.0
29171,Fenland and West Norfolk Aircraft Preservation Society,7209.0,9184.0
68847,Teifi Valley Railway Society,7205.0,8241.0
131770,Spo-UK,7200.0,5196.0
41520,Deeside Naturalists Society,7195.0,6166.0
82844,Friends of H.M.S. Conway,7190.0,4072.0
87874,Bampton Millennium Green Trust,7161.0,7161.0
75526,Oxfordshire Woodland Group,7150.0,12712.0
104636,Illeh Development Association,7150.0,0.0
121632,Greyhound Rescue North East,7131.0,7337.0
80106,Lifeforce,7121.0,3688.0
28465,Centre D'accueil European Trust,7097.0,12078.0
