,name,income,expend
51654,The Pierrepont Trust,25000.0,420.0
136764,CDS Action,25000.0,0.0
40236,Warwickshire Social Inclusion Partnership,24910.0,19812.0
135832,The Adam Appeal,24873.0,29694.0
11925,The League of Friends of Thame Hospital,24862.0,19350.0
121433,British Nuclear Test Veterans Association,24855.0,27706.0
87943,Noddfa Aberaeron,24846.0,22878.0
119826,Vision of Health Limited,24763.0,17579.0
106186,The Ladham Charitable Trust,24727.0,94700.0
20521,Age-Link,24669.0,13641.0
105950,Seed Eating Disorders Support Services,24604.0,37254.0
84972,West Midlands Adult Cystic Fibrosis Centre Charity Appeal,24592.0,14169.0
106984,Action After Stroke,24569.0,6015.0
106786,The Dorchester Trust for Counselling and Psychotherapy,24506.0,18412.0
116968,St Marys Hospital Isle of Wight - Juba Hospital Link,24461.0,77021.0
12776,The League of Friends of Southlands Hospital Shoreham-By-Sea,24432.0,9235.0
111447,The Arni Institute,24405.0,19786.0
135889,Superhands Charity,24349.0,29632.0
11509,Samaritans of Chelmsford and Mid-Essex,24333.0,21432.0
115152,East Anglian Russian and International Cultural Society,24313.0,22353.0
133092,Sequela Foundation,24301.0,23399.0
133866,Leg Ulcer Forum,24297.0,18443.0
130580,Kevin Ogle Sarcoma Cancer Trust,24271.0,13267.0
123556,Salamat,24227.0,22254.0
94835,Sangayi Association,24218.0,15159.0
29452,Friends of Potters Bar Community Hospital,24214.0,11641.0
61344,North Manchester Black Health Forum,24213.0,16729.0
15306,The League of Friends of the Woking Community Hospital,24160.0,2493.0
90498,The Society of Local Authority Chief Executives and Senior Managers (Solace Group) Ltd,24138.0,28960.0
55522,Headway Wirral,24129.0,27175.0
18437,The League of Friends of the Gosport War Memorial Hospital,24128.0,25385.0
38002,Chapel-En-Le-Frith Mobile Physiotherapy Service,24120.0,23413.0
44008,H a Taylor Fund,24115.0,29702.0
100236,Friends of the Tarabai Desai Eye Hospital,24089.0,46256.0
72419,The Samaritans of Tamworth,24066.0,32090.0
110182,Borderland Voices,24064.0,19289.0
20348,The League of Friends of Buckingham Hospital,24044.0,43164.0
93042,St Luke's Neighbourhood Trust,24032.0,33193.0
104074,Kent Cancer Trust,23972.0,41375.0
26342,Mayors Appeal Fund,23968.0,30000.0
38375,Samaritans of Lancaster and District,23959.0,42327.0
43526,The Samaritans of Northumbria,23815.0,20696.0
122635,Friends of Weardale Community Hospital,23792.0,14777.0
126056,Karuri School Project Trust,23791.0,21369.0
118759,Ilkley and District Good Neighbours,23776.0,17874.0
88167,Banbury and District Samaritans,23725.0,28052.0
86595,The Samaritans of Waltham Forest,23709.0,22127.0
94460,The London Pearly Kings and Queens Society Charity Fund,23676.0,23483.0
21420,King's Kidney Patients Association,23646.0,13431.0
104629,First Focus Fakenham,23616.0,51862.0
7161,The League of Friends of the Ormskirk Hospitals Group,23561.0,59439.0
18242,The Samaritans of Maidstone and Weald,23529.0,25290.0
101369,Southend Cystic Fibrosis Association,23518.0,23340.0
93529,Mankind Initiative,23436.0,37065.0
128790,Streetspace WSM,23364.0,16592.0
26560,Stockwell Good Neighbours,23336.0,24404.0
128579,Quinton Somali Community Org (Qusoco),23268.0,19740.0
135365,Somali Advice Link,23257.0,20088.0
110560,Fortune Forum (Summit) Limited,23253.0,20780.0
124453,Smilestar,23234.0,21002.0
90076,African Women's Care,23228.0,23022.0
114711,The Separated Child Foundation,23175.0,59521.0
116574,British Society for Gynaecological Imaging,23169.0,19434.0
118754,Umar Welfare Society,23167.0,17979.0
115183,The League of Friends of Halstead Hospital Limited,23161.0,43691.0
15585,The League of Friends of the Barnstaple Hospitals,23141.0,25897.0
136045,Rother Responders,23000.0,8388.0
120482,Kids in Kailahun,22990.0,23709.0
51499,Oldham Bereavement Support Service,22985.0,21045.0
117526,Reachout Bulgaria,22964.0,21877.0
5265,The Clatterbridge Hospitals League of Friends,22882.0,118838.0
108763,Options Wimbledon Pregnancy Resource Centre,22861.0,24361.0
117687,Sangini,22810.0,22937.0
39754,League of Friends Leamington Spa Hospital,22758.0,39897.0
7293,Hull Jewish Community Care,22724.0,7565.0
109079,Funsani Kids4kids,22711.0,26027.0
25231,The Frank Bond Trust Limited,22704.0,27908.0
100069,Social Unity Foundation of Innovation Trust Limited,22703.0,20462.0
14682,The League of Friends of the Walton-on-Thames Hospital,22698.0,9052.0
133659,Faizan-E-Raza,22666.0,2100.0
29751,First Air Ambulance Service Trust (Faast),22635.0,22635.0
132517,The British Heart Valve Society,22630.0,22627.0
25115,The Mcgarvey Fellowship,22629.0,18262.0
116040,Huddersfield Pregnancy Crisis Centre,22572.0,16972.0
10697,The Hospital and Homes of St Giles,22512.0,193162.0
132606,Seechange (Uk) Limited,22487.0,27786.0
2454,Arthur Hurst Will Trust,22485.0,44543.0
41274,"The Samaritans of Warrington, Halton and St Helens",22463.0,27191.0
107289,Sundon Park Centre Trust,22454.0,24075.0
84200,The Prestatyn Central Surgery Community League of Friends,22431.0,6387.0
62489,The League of Friends of Warwick Hospital,22424.0,33970.0
6656,Foxton Dispensary,22386.0,28047.0
136493,The Madathlon Fund,22313.0,11000.0
131542,Tom Hunt Trust Ltd,22287.0,27622.0
10447,Heather Brow Clergy Rest Home,22285.0,30550.0
51999,Chedgrave MS Therapy Centre Limited,22266.0,23401.0
134547,Forward Assist Limited,22250.0,0.0
111198,Meir Heath Windmill Preservation Group,22191.0,15591.0
17399,The Staffordshire Regiment (The Prince of Wales's) Regimental Charity,22184.0,20502.0
57008,British Society for Paediatric Dermatology,22180.0,14661.0
13388,The Hull and East Riding Cardiac Trust Fund,22158.0,206414.0
15591,Bristol Medico-Chirurgical Society,22090.0,18282.0
128005,Together as One,22015.0,12411.0
136499,Kush Yoga and Therapy,21960.0,18019.0
16911,Swaffham Community Hospital League of Friends,21949.0,51141.0
113997,Scoot-a-Long,21948.0,18738.0
107150,Headway North West London,21937.0,22777.0
5783,Reverend Matthew Hutchinson's Gilling Charity,21937.0,10164.0
12512,Mid Cheshire Branch of the Samaritans,21930.0,28230.0
136087,Hussainia Welfare Trust,21820.0,13017.0
130524,Isle of Wight Association for Mental Health,21794.0,15575.0
29937,Freewheelers Emergency Voluntary Service (Yeovil),21764.0,22347.0
85015,Hearts and Souls,21760.0,20839.0
59506,Art Research Creativity and Health,21741.0,11305.0
86558,Chernobyl Children Cancer Care Cardiff (5cs),21712.0,22726.0
133387,Trudy's Trust Ltd,21709.0,21548.0
93259,The Cancer Prevention and Education Society,21694.0,16832.0
89105,The Cassel Hospital Charitable Trust,21678.0,21498.0
121775,Livlife,21632.0,25676.0
129396,Tumaini UK - Working for the Widows and Orphans of Tanzania,21628.0,21122.0
61048,Karing,21595.0,29429.0
53775,York and District Against Motor Neurone Disease,21585.0,40003.0
7254,The Whipps Cross Hospital League of Friends,21530.0,19803.0
130081,Eight Bells for Mental Health,21498.0,17728.0
