,name,income,expend
59140,Community Links Trust Limited,8963413.0,8827118.0
94271,Cobalt Health,7892752.0,6856349.0
116511,Westway Trust,7747488.0,7728833.0
53204,"The National Federation of Women's Institutes of England, Wales, Jersey, Guernsey and the Isle of Man",7443815.0,6600587.0
79161,Greenham Common Community Trust Limited,6992948.0,7317331.0
99147,Goodwin Development Trust Limited,6334000.0,5724000.0
74440,Autism Sussex Limited,5489758.0,5337858.0
50594,Furniture Resource Centre Limited,5353301.0,4895650.0
123305,Ealing Community Transport,4562155.0,4301259.0
112846,The New Cross Gate Trust,4381212.0,263104.0
122462,Centre for Engineering and Manufacturing Excellence,4018807.0,5080798.0
43797,Welsh Housing Aid Limited,3913813.0,3513289.0
16959,Zurich Community Trust (Uk) Limited,3697000.0,3848000.0
86258,Borough Market (Southwark),3637309.0,3539987.0
113210,Intouni,3373240.0,3240987.0
136004,Torfaen Leisure Trust Limited,3320505.0,3132711.0
105523,Inspire Community Trust,3230465.0,2453272.0
12173,Community Transport,3137280.0,3153415.0
97004,Great Yarmouth Community Trust,3021979.0,2784307.0
124293,The Cambridge Malaysian Education and Development Trust,3007623.0,897015.0
115819,East London Business Alliance,2997434.0,3053680.0
120113,Dame Kelly Holmes Trust,2883309.0,2622199.0
69078,The Bromley By Bow Centre,2835000.0,2903000.0
78578,Action with Communities in Rural England (Acre),2701904.0,2822508.0
125826,International Inspiration,2640799.0,3077519.0
132560,East End Community Foundation,2603227.0,882118.0
112672,Kairos Community Trust,2600990.0,2106982.0
82642,The Metro Centre Ltd,2437247.0,2460525.0
123830,Social Business Trust,2412618.0,2143678.0
91488,Halifax Opportunities Trust,2404456.0,2288203.0
108872,The Albany 2001 Company,2377574.0,2347415.0
63494,Stroud Court Community Trust Limited,2364483.0,2443939.0
84895,The Forum Trust Limited,2278456.0,3105811.0
124695,Liverpool Guild of Students,2248150.0,2464706.0
20674,Impact Initiatives,2239385.0,2121732.0
96820,Sussex Community Development Association,2127560.0,2025657.0
88616,Paddington Development Trust,2080659.0,1847769.0
93167,Nsa Afan (Community Regeneration),2005262.0,1710751.0
116555,Manor and Castle Development Trust Limited,1984359.0,2085270.0
37142,The Clive and Sylvia Richards Charity Limited,1979392.0,2163733.0
45414,Alt Valley Community Trust Limited,1977559.0,1954479.0
91874,The Shoreditch Trust,1845753.0,2450496.0
79638,Community Action Isle of Wight,1830620.0,1439672.0
78567,Bedfordshire Rural Communities Charity,1712136.0,1606085.0
136153,Expectations (Uk),1709457.0,1253829.0
122471,Merseycare Transport Services Ltd,1695381.0,1597484.0
81889,West Norfolk Community Transport Project,1680189.0,1349941.0
28579,Coin Street Centre Trust,1666841.0,1612984.0
84578,Community Council of Devon,1659597.0,1657401.0
103089,The Arthur Rank Centre,1638000.0,272000.0
44571,St Anthony of Padua Community Association,1612907.0,1546040.0
87245,Anjuman-E-Burhani (London),1605122.0,1317424.0
56135,Merthyr Tydfil Institute for the Blind,1583459.0,1524380.0
111256,The Derbyshire Environmental Trust Limited,1570835.0,932182.0
127109,Bfi Trust,1548243.0,2377751.0
87138,North Liverpool Regeneration Company Ltd,1524769.0,636524.0
86340,Netherthorpe and Upperthorpe Community Alliance,1508316.0,1541697.0
77870,Community Transport for Town and County,1499261.0,1498809.0
107710,Vital Regeneration,1491361.0,1675276.0
121764,Manor Development Company Limited,1484199.0,193299.0
40273,Gaddum Centre,1467647.0,1419560.0
16344,Cambridge House and Talbot,1448964.0,2029708.0
