,name,income,expend
89116,Vision Aid Overseas,995809.0,1221706.0
116293,Global Giving UK,980500.0,795307.0
131239,Education Futures Trust,977885.0,717098.0
104053,Concordis International Trust,965200.0,1304535.0
37103,Vyoel Moshe Charitable Trust,953905.0,1046457.0
78489,Trade Plus Aid,945635.0,598254.0
57626,Chernobyl Children's Lifeline,942084.0,1090367.0
29064,Partners for Change Ethiopia,926283.0,796468.0
20243,Inter Care Limited,925912.0,890012.0
96700,Cure International (Uk),900811.0,942552.0
72229,Link Community Development International,899536.0,907547.0
133067,Nilkanth Estates,897960.0,1315366.0
89393,Save China's Tigers,895642.0,769151.0
102062,Global Angels Ltd,882617.0,897801.0
133669,Family for Every Child,876539.0,95322.0
118078,Fight for Peace (Uk),873085.0,786641.0
133571,The Olusegun Obasanjo Foundation,870305.0,712918.0
124834,Fight for Peace International,868606.0,612810.0
124275,International Centre for Prison Studies,855813.0,857369.0
102690,"Friends of Ubuntu Education Fund, UK",846392.0,783309.0
81807,Action for Brazil's Children Trust,844694.0,639015.0
95342,Bridge2aid,835511.0,889918.0
7836,Medical Missionary News Fund,831445.0,904373.0
130270,Street Child United,828722.0,613933.0
102371,MTV Exit Foundation,822468.0,1835578.0
108833,Bfon Trust,821988.0,834195.0
102886,Chevras Machzikei Mesifta,821087.0,846943.0
126263,The Paquita Filby Trust,818257.0,13923.0
88968,The Whitley Fund for Nature,811690.0,1073397.0
113553,The Galilee Foundation,810596.0,646722.0
83233,The Cecily Eastwood Zambian Aids Orphans Appeal,795752.0,880356.0
130165,Partner Africa,795457.0,788352.0
103975,Mohiuddin Trust,783782.0,1046707.0
37123,The Round Square,771926.0,760727.0
58106,The Saigon Children's Charity,769338.0,770739.0
55688,British Friends of Ohel Sarah,769255.0,765949.0
125850,Pimco Foundation Europe,764712.0,170507.0
52657,International Refugee Trust,760953.0,797756.0
86831,Pump Aid,760802.0,985939.0
118773,Aapg - Europe,760122.0,698903.0
24788,The Merephdi Foundation,757224.0,757224.0
126107,International Debate Education Association-UK,752832.0,492775.0
124012,Women's Aid Leicestershire Limited,751525.0,859908.0
22293,Tools for Self Reliance,749402.0,698124.0
57467,Let the Children Live,746384.0,856762.0
37694,Imdadul Muslimeen,734195.0,713281.0
87345,People in Aid,732808.0,666281.0
88494,Aquaid Lifeline Fund,731855.0,694401.0
7225,Royal Commonwealth Society,729873.0,937178.0
90419,UK Friends of the Association for the Wellbeing of Israel's Soldiers,717085.0,699515.0
101390,The Anglo-American Charity Limited,714674.0,637874.0
113213,Child.org International,706469.0,622362.0
57074,Profound and Multiple Impairment Service,699345.0,749534.0
103003,International China Concern (Child Care) Ltd,697180.0,727543.0
124962,Global Poverty Project UK,677517.0,583094.0
85030,Street Child Africa,676364.0,672171.0
82076,The Crossroads Antigua Foundation,665991.95,704349.1
93387,Real Aid,658325.0,680596.0
106184,African Revival,658081.0,708934.0
53105,Friends of Achiezer Arad,654234.0,255360.0
18859,Meco UK and Ireland,651417.0,686404.0
113187,Al Mustafa Welfare Trust International Ltd,647754.0,714831.0
56759,The Inter-National Needs Network,644464.0,612757.0
36573,The British and Foreign School Society,642413.0,658002.0
121917,Fowler Smith and Jones Trust,639154.0,550879.0
125146,Catzero,633913.0,651843.0
85148,Children Change Colombia,632708.0,639563.0
130852,The Camellia Foundation,631566.0,679822.0
36921,"Collel Chibath Yerushalayim, Rabbi Meir Baal Hanes Trust",629387.0,728981.0
121515,Centre for Access to Football in Europe (Cafe),629008.0,132295.0
116831,Global Aid Trust Limited,625029.0,671674.0
88334,Second Sight,621466.0,564468.0
77815,Help the Needy Charitable Trust,613935.0,606822.0
131115,United Nations Association - UK,610000.0,560000.0
110986,Brac UK,609710.0,604396.0
107831,Heart International Limited,606563.0,607278.0
122931,Fair Trials International,601623.0,596869.0
58174,Padley Group,601427.0,543956.0
118934,The K T Wong Foundation,601034.0,589923.0
15934,Commissariat of the Holy Land,599683.0,609184.0
36546,The British Friends of the Bar-Ilan University,597930.0,569765.0
94782,The Philippine Community Fund,597341.0,542466.0
119061,Mapaction,595658.0,565527.0
73713,The African People's Historical Monument Foundation,595002.0,485847.0
114056,Globalteer,593500.0,542787.0
136996,Cam International,592263.0,44843.0
71308,Disability and Development Partners,588908.0,543727.0
101854,International Learning Movement (Ilm),588454.0,591259.0
36507,Pinhas Rutenberg Educational Trust,585031.0,569200.0
100910,Idrb,572695.0,575962.0
101401,Engineers Without Borders UK,570977.0,511853.0
14186,The Jewish Philanthropic Association for Israel and the Middle East,570000.0,407000.0
101107,Children on the Edge,567617.0,584307.0
67458,The Monsoon Accessorize Trust,566944.0,757114.0
13781,International Children's Trust,565112.0,514049.0
105805,The Egmont Trust,564695.0,749497.0
90626,Brian and Jill Moss Charitable Trust,559606.0,138840.0
78602,British Institute in Eastern Africa,557824.0,547045.0
31427,Young Bristol,547001.0,747751.0
57253,The Matliwala Family Charitable Trust,546550.0,559998.0
76858,International Patients Organization for Primary Immunodeficiencies,544853.0,499220.0
113311,The Bilton Charitable Foundation,534499.0,792962.0
101089,The World Memon Organisation Charitable Foundation,531381.0,586594.0
56175,Christina Noble Childrens Foundation Limited,529776.0,667906.0
52001,Chilterns MS Centre Ltd,523096.0,747640.0
68967,Miracles,517819.0,524976.0
101368,Ladbrokes in the Community Charitable Trust,515309.0,465345.0
83415,Engineers Against Poverty,514691.0,517914.0
