,name,income,expend
80582,"International Rescue Committee, U.K",83631000.0,76884000.0
7891,International Planned Parenthood Federation,83135548.3,81099418.6
37596,Islamic Relief Worldwide,82814292.0,87284642.0
83779,The United Kingdom Committee for Unicef,79120000.0,78316000.0
25594,Wateraid,73695000.0,71923000.0
79095,Disasters Emergency Committee,70028000.0,29125000.0
36450,Voluntary Service Overseas,68713000.0,68227000.0
24442,World Vision UK,66742000.0,70422000.0
19714,Actionaid,63660000.0,57584000.0
123146,Medical Emergency Relief International,62303583.0,62608183.0
16465,Tearfund,59372000.0,62324000.0
99989,Malaria Consortium,54534699.0,55102824.0
20407,Plan International UK,52949000.0,55255000.0
24391,Catholic Agency for Overseas Development,51287000.0,51459000.0
96176,International Medical Corps (Uk),50581155.0,48393673.0
53880,The Salvation Army International Trust,40985000.0,34838000.0
27095,Care International UK,39184000.0,38199000.0
136684,Kurdistan Children's Hospital Foundation,36766282.39,1258554.208
62090,Medecins Sans Frontieres (Uk),35986000.0,34072000.0
89807,The Mines Advisory Group,33204588.0,32536077.0
63348,Camfed International,31271111.0,31294351.0
12156,Practical Action,30252000.0,27824000.0
86419,Compassion UK Christian Child Development,28365051.0,28097054.0
28204,Muslim Aid,26683444.0,26567699.0
25367,Helpage International,26404000.0,25981000.0
54470,The Halo Trust,24157000.0,25526000.0
67664,International Hiv/Aids Alliance,23233748.8,21262985.4
18924,Concern Universal,23182149.0,22330588.0
106733,The Border Consortium,21502759.0,20166920.0
125066,Movember Europe,20547036.0,20220736.0
54262,Samaritan's Purse International Limited,19129643.0,18919162.0
95190,Concern Worldwide (Uk),17839839.0,16881873.0
16807,Aga Khan Foundation (United Kingdom),15688000.0,14066000.0
26322,Health Limited,14374239.0,12998076.0
103613,Open Society Foundation,14347074.0,14633295.0
103607,Muslim Hands,14212504.0,11663185.0
85909,The Leprosy Mission International,14072849.0,13938006.0
97788,Shelterbox Trust,14057000.0,8202000.0
74002,Amnesty International UK Section Charitable Trust,14041000.0,14422000.0
7046,JNF Charitable Trust,13855000.0,13485000.0
2526,The Royal Institute of International Affairs,12766000.0,11685000.0
136544,Marr-Munning Trust,12428846.0,385299.0
3001,International Foundation for Aids to Navigation,12283447.0,10174890.0
58777,Homeless International,11656544.0,4696928.0
98856,Relief International UK,11524874.69,11455934.63
70165,Saferworld,11069000.0,9009000.0
