,name,income,expend
93406,Changing Futures North East,499806.0,494977.0
7318,Bradford Flower Fund Homes,496826.0,527423.0
64098,The Revolving Doors Agency,495004.0,615375.0
82730,Her Centre Limited,493522.0,467056.0
79614,Marsha Phoenix Memorial Trust,490350.0,434266.0
1852,Almshouse Charity of Arthur Winsley and Others,485591.0,341408.0
4179,Foord Almshouses,484464.0,505365.0
85064,Coventry Haven,483133.0,418126.0
14517,The Englefield Charitable Trust,482349.0,540822.0
68315,The Bond Board Limited,481135.0,388334.0
96186,Changing Our Lives Ltd,478363.0,425194.0
108834,Isleworth & Hounslow Charity Limited,477511.0,326488.0
65955,North Smethwick Development Trust,476487.0,359947.0
1927,The Buckmaster Memorial Home,473373.0,488732.0
1562,Finchingfield Guildhall Trust,472300.0,96058.0
42336,St Mary the Virgin Estate Management Charity,472138.0,472138.0
82128,Sahwr,471813.0,427020.0
13601,DR and MRS Chadwick's Charity,470951.0,388459.0
86539,Emmanuel House Day Centre,470319.0,374128.0
59508,Cowes Town Waterfront Trust Limited,468651.0,478687.0
1392,Devizes Almshouse Charity,464762.0,233848.0
57666,Oizer Charitable Trust,462927.0,456900.0
4854,Uxbridge United Welfare Trusts,462831.0,537526.0
102076,Sheppey Matters,462501.0,441504.0
27957,Housing Justice,460333.0,448410.0
96200,Chelmsford Chess,459152.0,403359.0
102497,Pitsmoor Youth Housing Trust,457779.0,520303.0
92302,Barnstondale Centre,452339.0,506728.0
82332,Railway Paths Limited,449540.0,568997.0
2087,St Barnabas Southwold,448948.0,562369.0
43706,Taptonholme,444406.0,403173.0
124259,Irish Community Care Merseyside,443493.0,444513.0
101250,Age UK North Lincolnshire Limited,441119.0,410125.0
54806,The Swan Sanctuary,437770.0,263281.0
8650,The Abbeyfield Blackpool Society Limited,436422.0,297842.0
102715,Foundations Independent Living Trust Limited,436262.0,451028.0
70971,Worksop and Retford Housing Project Limited,434423.0,494575.0
87769,Project 34,431293.0,427049.0
80269,The Making It Industrial Heritage Trust Limited,431200.0,489747.0
9247,The George Gibson Almshouses Foundation,428003.0,219726.0
86778,Chester Municipal Charities,425088.0,279284.0
108228,Domestic Abuse Safety Unit (Deeside),424039.0,434903.0
56933,Harrogate Homeless Project Ltd,422070.0,375050.0
4799,The Charity of Thomas Oken and Nicholas Eyffler,420877.0,135746.0
88216,Northampton Association for Accommodation for Single Homeless,420563.0,445559.0
