,name,income,expend
94734,Menorah High School for Girls,873326.0,611244.0
58070,The Peter Beckwith Harrow Trust,866507.0,885524.0
25771,The Friends of Queen Elizabeth's School,810369.0,790840.0
76098,Parent Community Association of the American School in London,799658.0,791552.0
102426,Friends of the Folkestone and Marlowe Academies,768000.0,134000.0
104973,The Haberdashers' Aske's Boys' School Foundation,575813.0,165289.0
83068,Friends of the Moscow School of Social and Economic Sciences,575506.0,513188.0
109934,Real Care Ltd,514062.0,448614.0
