,name,income,expend
3639,"Rsa (The Royal Society for the Encouragement of Arts, Manufactures and Commerce)",9730000.0,9608000.0
7049,The National Council for Voluntary Organisations,9588000.0,8868000.0
117798,The Benjamin Foundation,4748885.0,4430240.0
109633,Gwent Association of Voluntary Organisations,4466002.0,4672517.0
6432,Liverpool Charity and Voluntary Services,3900611.0,3830544.0
104265,Halton and St Helens Voluntary and Community Action,3482102.0,828501.0
41174,Voluntary Action Leicester,3245160.0,3110030.0
75540,New Economics Foundation,3116287.0,3263330.0
3655,British Association for the Advancement of Science,3109453.0,3101365.0
61314,Sefton Council for Voluntary Service,2741555.0,2819176.0
134620,Community Action Suffolk,2685312.0,2781819.0
51863,The Directory of Social Change,2500724.0,2353078.0
73040,Vast Services (1920),2471737.0,2641020.0
59295,Portsmouth Historic Dockyard,2440376.0,2273702.0
114904,Integrity Action,2424604.0,1910443.0
126592,Nus Students' Union Charitable Services,2409652.0,2586903.0
88938,Management Accounting for Non Governmental Organisations,2270000.0,2274000.0
20581,Rachel Charitable Trust,2219227.0,3798683.0
25290,The Third Age Trust,2142345.0,1849198.0
75127,Newvol,2141222.0,1880762.0
34289,Royal Statistical Society,2087062.0,1904121.0
5244,Sir Thomas White's Charity,2077091.0,2302091.0
94692,New Philanthropy Capital,2069700.0,2274114.0
100063,The Resource Alliance Limited,2022535.0,1855040.0
55695,Redbridge Council for Voluntary Service,1966315.0,1932690.0
82312,Volunteer Cornwall,1947303.0,1968543.0
110353,Assocn of Chief Executives of  Vol Orgs - Acevo,1925270.0,2015725.0
105939,Imago Community,1918833.0,1852907.0
98333,Humber Learning Consortium,1903930.0,1948072.0
20767,The London Voluntary Service Council,1879166.0,1925310.0
79388,Swansea C V S,1873218.0,1848056.0
5287,Birmingham Voluntary Service Council,1871908.0,1721633.0
74872,Community Action Hampshire,1869400.0,895402.0
83234,Cacdp,1793034.0,1855456.0
25321,Dacorum Council for Voluntary Service,1707859.0,1849985.0
77924,Croydon Voluntary Action,1705471.0,1833454.0
75374,The Charity Finance Group,1689612.0,1850187.0
44581,The Dudley Council for Voluntary Service,1663355.0,896919.0
17517,The Maritime Heritage Trust,1652569.0,101623.0
82096,Powys Association of Voluntary Organisations Cymdeithas Mudiadau Gwirfoddol Powys,1647336.0,1638058.0
39274,Greater Manchester Centre for Voluntary Organisation,1622536.0,1588327.0
22476,The Isle of Wight Railway Company Limited,1592529.0,1396916.0
6309,Voluntary Action Sheffield,1584243.0,1787640.0
50671,Wolverhampton Voluntary Sector Council,1535141.0,1363106.0
82194,Hackney Council for Voluntary Service,1527347.0,1425573.0
59180,Sustain: the Alliance for Better Food & Farming,1506706.0,1528357.0
111944,Summitskills Limited,1498495.0,2233697.0
106495,Bristol Charities,1486934.0,1340404.0
81600,Cardiff Third Sector Council (C3sc),1483047.0,1474139.0
85694,Voluntary Action Rotherham,1477889.0,1572828.0
132761,Community and Voluntary Action Tameside,1475495.0,1305028.0
108515,Voluntary Norfolk,1445119.0,1558361.0
7222,The General Service Board of Alcoholics Anonymous (Great Britain) Limited,1375104.0,1228118.0
89145,Titan Partnership Limited,1318509.0,1993520.0
79550,Voluntary Action Oldham Limited,1281740.0,698097.0
118484,Newcastle Upon Tyne Council for Voluntary Service,1250613.0,1126445.0
82748,Nottingham Community and Voluntary Service,1232779.0,1326527.0
131534,Bridgend Association of Voluntary Organisations,1222542.0,1213359.0
86551,Basingstoke Voluntary Action,1220228.0,1284275.0
94443,V Learning Net,1214267.0,1153939.0
113121,Voluntary Action Merthyr Tydfil,1211458.0,1201443.0
81628,World Federation of Neurology,1210163.0,723623.0
54395,National Association for Voluntary and Community Action,1195995.0,1422912.0
36523,The Winston Churchill Memorial Trust,1195347.0,1459601.0
14377,Kingston Voluntary Action,1191791.0,1220379.0
114031,Cumbria Council for Voluntary Service,1189733.0,1105532.0
6851,York Centre for Voluntary Service,1176171.0,1316938.0
80816,Involve Kent,1170483.0,946125.0
51365,Telford and Wrekin Council for Voluntary Service,1169520.0,1121042.0
80004,The Neath Port Talbot Council for Voluntary Service Ltd.,1153929.0,1129450.0
78844,Cymdeithas Gwasanaethau Gwirfoddol Sir Gar / Carmarthenshire Association of Voluntary Services,1141221.0,1175835.0
127351,Interlink RCT,1132491.0,1104350.0
79409,Pembrokeshire Association of Voluntary Services,1110719.0,1158826.0
118664,Advonet,1092580.0,1020336.0
52549,Voluntary Action Camden,1087788.0,1129797.0
116713,Warwickshire Community and Voluntary Action,1073026.0,1123286.0
51937,Ealing Community and Voluntary Service,1070276.0,1072386.0
43537,Voluntary Action Barnsley,1046055.0,1264640.0
116616,Community Action Wirral,1040318.0,1059234.0
78612,Keighley Voluntary Service Ltd,1035274.0,989533.0
100793,Exeter Council for Voluntary Service,1028813.0,1227582.0
95400,Colchester Community Voluntary Services,1014295.0,735562.0
70233,Association of Voluntary Organisations in Wrexham,1003262.0,1197831.0
79011,Burnley Pendle and Rossendale Council for Voluntary Service,1001691.0,997694.0
