,name,income,expend
105470,Fusion Lifestyle,68474000.0,66546000.0
3656,"The Royal Shakespeare Company, Stratford-Upon-Avon",61740000.0,58987000.0
58674,The Royal Collection Trust,54991000.0,46664000.0
2652,The Zoological Society of London,52077000.0,45744000.0
14307,English National Opera,39531000.0,73406000.0
90977,Tate Foundation,36318852.0,51247831.0
118123,The Royal Academy of Arts,36281856.0,28611268.0
48830,National Museum of Wales,35356000.0,30246000.0
87668,The Football Foundation,33877000.0,39581000.0
101822,Mytime Active,32797722.0,32649074.0
41801,Birmingham Hippodrome Theatre Trust Limited,31563000.0,30131000.0
103767,Wigan Leisure and Culture Trust,30707237.0,30790561.0
34280,The North of England Zoological Society,28161000.0,25036000.0
133059,The Lta Trust,27041000.0,15000.0
22073,Sadler's Wells Trust Limited,26836000.0,26502000.0
13722,The Corporation of the Hall of Arts and Sciences,25933000.0,20102000.0
23593,The London Marathon Charitable Trust Limited,25786045.0,27174189.0
11444,Glyndebourne Productions Limited,25126146.0,25356122.0
51913,The Design Museum,24972954.0,6580788.0
23888,Theatre Royal (Plymouth) Limited,22789000.0,16742000.0
118771,The National Museum of the Royal Navy,22146148.0,13437244.0
16937,The Shakespeare Globe Trust,21663000.0,17963000.0
3437,The Royal Opera House Foundation,21089000.0,21089000.0
92944,Chichester Festival Theatre,20874401.0,12394627.0
125954,Museum of London,20797000.0,22479000.0
125275,BH Live,20270804.0,20032452.0
78075,Wales Millennium Centre,19461000.0,22395000.0
28416,Dunard Fund,18596168.0,2602349.0
74954,The Lowry Centre Trust,18572000.0,19703000.0
127119,The British Museum Trust Limited,18291058.0,10112014.0
96049,Hertsmere Leisure,18152764.0,18245679.0
130029,Stevenage Leisure,18035668.0,17984459.0
91938,Youth Sport Trust,17948997.0,17047973.0
5950,Welsh National Opera Limited,16999000.0,17235000.0
92263,North Music Trust,16828554.0,15957053.0
48831,National Library of Wales,16704000.0,13630000.0
72113,Active Nation UK Ltd,16547734.0,16402059.0
8679,The London Symphony Orchestra Limited,16271000.0,16492000.0
27988,The Mayflower Theatre Trust,16190942.0,15305471.0
29972,The National Gallery Trust,15805819.0,8410587.0
116507,London Transport Museum Limited,15492000.0,14430000.0
34312,Aquaterra Leisure,15419000.0,15926000.0
21127,The Theatre Royal Bath Limited,14983134.0,14985959.0
42143,Opera North Limited,14835726.0,15228670.0
102498,Doncaster Culture and Leisure Trust,14734404.0,14338154.0
88840,Liverpool and Merseyside Theatres Trust Limited,14153815.0,5050678.0
83766,The Old Vic Theatre Trust 2000,13916180.0,13193893.0
94546,Kirklees Active Leisure,13432266.0,13604139.0
11618,Royal Air Force Museum,13420901.0,10198841.0
4068,English National Ballet,13368012.0,14774444.0
15541,Theatre Royal (Norwich) Trust Limited,13157837.0,12843794.0
29368,The Tennis Foundation,12923000.0,12581000.0
131922,Birmingham Museums Trust,12908000.0,13360000.0
78343,Birmingham Royal Ballet,12866987.0,12935140.0
8146,The Royal Liverpool Philharmonic Society,12790000.0,16503000.0
81374,Manchester Sport and Leisure Trust,12732841.0,12733036.0
94758,Halo Leisure Services Limited,12666780.0,12549112.0
74944,Performances Birmingham Limited,12665000.0,12901000.0
119877,The Outward Bound Trust,12279000.0,13244000.0
22015,The Dartington Hall Trust,12030000.0,14076000.0
11302,The Landmark Trust,11981000.0,9999000.0
83141,The Roundhouse Trust,11609466.0,12196297.0
96402,Stockport Sports Trust,11521684.0,11297946.0
133274,Science Museum Foundation,11520421.0,7368.0
114325,The Goldsmiths Centre,11498427.0,2489241.0
86103,Barnsley Premier Leisure,11295340.0,10985054.0
101800,Sandwell Leisure Trust,11121227.0,10771485.0
122902,Tempus Leisure Limited,11022336.0,10869502.0
125225,Vivacity Culture and Leisure,10877018.0,9096897.0
79580,Somerset House Trust,10863771.0,13692297.0
14334,Sheffield Theatres Trust,10862618.0,11612077.0
108127,Circadian Trust,10861718.0,10572620.0
41922,Chatsworth House Trust,10858696.0,11434540.0
37976,Leeds Grand Theatre and Opera House Limited,10651115.0,10923257.0
2766,National Art Collections Fund,10558000.0,10746000.0
22900,Alexandra Park and Palace,10551000.0,10811000.0
10076,London Philharmonic Orchestra Limited,10176363.0,9293056.0
19092,The Friends of the Royal Academy,10072880.0,10072880.0
24331,Oxford Archaeology Limited,10064241.0,10052150.0
39945,City of Birmingham Symphony Orchestra,10002943.0,9518408.0
