,name,income,expend
95457,Kreative Culture Klub (KCK),24990.0,25435.0
110519,United in Care,24951.0,28454.0
125252,K9 Crusaders,24908.0,24833.0
123513,Free the Bears UK,24855.0,20153.0
102500,Creatures Great and Small,24783.0,23965.0
131864,"Bike Safe, West Oxfordshire Limited",24783.0,8668.0
101535,Great Dane Care Charitable Trust,24657.0,26064.0
131453,"Wing and a Prayer, Wild Bird and Owl Haven",24620.0,27776.0
102543,Manchester Sudanese Tree Development Community,24573.0,26237.0
38628,Royal Society for the Prevention of Cruelty to Animals North Teesside and District Branch,24564.0,26567.0
21903,Bury St Edmunds Town Trust,24547.0,7723.0
127328,Environment Matters 247,24500.0,1600.0
60619,Willesborough Windmill Trust Limited,24464.0,13563.0
114442,West Yorkshire Animals in Need,24442.0,23436.0
51336,Greyhound Rescue,24411.0,19194.0
44935,Pets' Lifeline - Cumbria,24383.0,24033.0
95750,Kingsdown Cat Sanctuary,24323.0,34901.0
127726,Cavaliermatters,24286.0,20698.0
67276,The Stable Door Charitable Trust,24272.0,65400.0
134565,Henley Summer Fireworks,24239.0,13779.0
114667,Martha and Mary Association,24104.0,14428.0
55974,Friends of Mount Pleasant Health Centre,24079.0,15694.0
68255,The Murray Downland Trust,24024.0,18638.0
7213,Royal Botanical and Horticultural Society of Manchester and the Northern Counties,24023.0,25158.0
120530,Owlrescue,23982.0,17838.0
128446,Willow Dog Rescue,23953.0,17999.0
19988,Epping Forest Centenary Trust,23900.0,30975.0
25047,The French Bulldog Welfare Trust,23883.0,6786.0
115880,RSVP Outer London North,23856.0,6812.0
89325,Bristol Memorial Woodland Trust,23808.0,590.0
84256,Shrewsbury Drapers' Hall Preservation Trust,23795.0,4322.0
706,"Royal Society for the Prevention of Cruelty to Animals Surrey, Sutton and District Branch",23756.0,38742.0
113914,Zepthedep Rottweiler Rescue,23727.0,15672.0
41230,The British Motorcycle Charitable Trust,23720.0,79873.0
15142,Croydon Natural History and Scientific Society Limited,23671.0,15272.0
104181,Hector's Gate Animal Sanctuary,23638.0,22384.0
90914,Wyre River Trust,23616.0,8579.0
125218,Tamar Donkey Sanctuary,23553.0,29090.0
55392,The Bailiff Jurats and Commonality of Romney Marsh,23545.0,21935.0
24164,Westminster Tree Trust,23507.0,24280.0
19187,The Pointer Rescue Service,23486.0,22899.0
4006,Royal Society for the Prevention of Cruelty to Animals - Kent - Sittingbourne Branch,23433.0,14587.0
99377,Dogs in Need,23428.0,42424.0
104169,New Milton Town Partnership,23416.0,24827.0
45329,Fishguard and Goodwick Cat and Dog Rescue Group,23411.0,18290.0
122883,Anglia in Bloom,23410.0,26014.0
112237,Patt Foundation Ltd,23410.0,28903.0
131413,Hazelwood Cat Rescue Centre,23312.0,22845.0
108535,Friends of Middleton Park,23288.0,18936.0
122122,Roleystone Horse and Pony Sanctuary,23186.0,21557.0
6480,Royal Society for the Prevention of Cruelty to Animals Carmarthenshire Branch,23097.0,19769.0
16778,New Ash Green Village Trust,23037.0,19635.0
109133,The Asswin Project to Help Suffering Animals in India,22993.0,18238.0
6923,Royal Society for the Prevention of Cruelty to Animals Gwent Branch,22990.0,28438.0
57388,Inter Aid (Cardiff) Limited,22963.0,24486.0
74356,The Swale Mediation Service,22884.0,20900.0
15037,New Forest Association,22882.0,16984.0
82899,MRS H L Grimwade Charitable Trust,22863.0,31584.0
126062,Castle Point Wildlife Group,22804.0,22821.0
101480,The Friends of Hoylake and Meols in Bloom,22772.0,20575.0
44455,The Border and Lakeland Holstein Club,22759.0,23717.0
98436,The Friends of South Park Gardens,22574.0,13860.0
38796,Erewash Canal Preservation and Development Association,22541.0,18869.0
127849,South Devon Nature Trust,22525.0,17484.0
102473,British Appaloosa Society,22500.0,22800.0
54441,Peacehaven Horticultural Society,22500.0,7146.0
67236,Greenhouse Trust Fund,22484.0,28473.0
106675,Hayling Island First Responder Scheme,22468.0,20273.0
80359,Danemere Animal Rescue,22459.0,20087.0
10750,The Lancaster Canal Trust,22434.0,26881.0
90081,Primrose Hill Community Woodland Trust,22410.0,3465.0
40103,Royal Society for the Prevention of Cruelty to Animals Montgomeryshire and Radnor Branch,22386.0,20813.0
122278,Animals in Science - Education Trust,22282.0,20384.0
30391,Holmer Green Village Centre,22276.0,21576.0
111341,Agni Animal Welfare Fund,22232.0,2415.0
128695,Yorkshire Coast Dog Rescue,22179.0,18841.0
111617,International Tortoise Association,22167.0,22164.0
125084,The Lesley Haskins Charitable Trust,22163.0,353012.0
88339,Tamar Protection Society,22142.0,23516.0
53707,Offwell Woodland and Wildlife Trust,22120.0,23978.0
12461,The Bow Waterworks,22046.0,18855.0
93805,The King's Outreach,22021.0,19678.0
120843,L.C Animal Rescue Limited,22000.0,30396.0
99312,Southern Golden Retriever Rescue,21992.0,10990.0
77279,Feral Cat and Elderly Cat Care and Sanctuary,21979.0,39978.0
122275,Hoofbeats Equine Rehabilitation Sanctuary,21879.0,21505.0
87545,Crescent Cat Rescue,21751.0,32713.0
96813,Rose Cottage Cat Rescue,21735.0,21466.0
65713,The Solway Aviation Society Limited,21724.0,19941.0
102216,North East Bus Preservation Trust Limited,21704.0,28142.0
127494,Animal Healing Trust,21702.0,21131.0
126428,Chester Cat Care,21698.0,17367.0
117069,The Wish Tree,21682.0,17933.0
124496,Bridport TLC - Community Resource & Recycling Project,21642.0,20127.0
130095,Cornwall Bird Watching & Preservation Society,21566.0,17012.0
95539,Pride in Penn Fields,21553.0,21904.0
56609,The Hertfordshire Gardens Trust,21433.0,21214.0
111085,Friends of the Flitch Way and Associated Woodlands,21394.0,37147.0
117837,Staffordshire Bull Terrier Rescue,21392.0,20519.0
97853,Slaidburn Property Trust,21301.0,65240.0
125839,2 Water,21289.0,26356.0
106187,UK Controlled Environment User's Group,21282.0,19831.0
65380,Friends of Barnet Environment Centre,21270.0,19292.0
98575,York Natural Environment Trust Limited,21237.0,13921.0
120175,Friends of Akitas Trust (Uk),21192.0,16383.0
113451,Dogwatch UK,21176.0,20581.0
51877,Devon Gardens Trust,21172.0,39994.0
122225,The Pat Green Charitable Trust,21163.0,18413.0
98135,Stibbington Centre Greener Future Trust,21133.0,28304.0
88501,Limehurst Millennium Greeen Trust,21112.0,18464.0
125678,Severn Valley Donkey and Dog Rescue,21090.0,23332.0
121472,Forest School Parents Association,21051.0,21044.0
82989,Flora Locale,21038.0,24677.0
101360,The Cat Haven Rescued Cat Home (Wisbech),21000.0,23000.0
134536,Dying to Keep Warm,20991.0,20328.0
109126,Diapalante,20991.0,19302.0
5049,Rees Jeffreys Road Fund,20985.0,258217.0
87686,Churchill and Blakedown Millennium Green Trust,20983.0,925.0
129624,Kitty in the City,20963.0,18182.0
55722,The Gawthorn Cardiac Trust,20949.0,54029.0
37970,Vera Kaye Rollit Charitable Trust,20901.0,24525.0
132434,Pastures New Racehorse Rehabilitation,20893.0,30597.0
28475,The Camborne Show Society,20877.0,17685.0
126662,The Mill Garden Trust,20864.0,17437.0
13639,The Bury and District Agricultural Society,20754.0,14509.0
133049,Hull Greyhound Rescue,20682.0,19196.0
13030,Royal Leamington Spa Horticultural Society,20671.0,20549.0
112081,Cercopan,20664.0,49194.0
83635,The Siamese Cat Club Welfare Trust,20658.0,19402.0
60365,North Essex Horse Rescue Unit,20631.0,40444.0
112880,Blue Texel Sheep Society,20582.0,18165.0
92922,Valgray's Border Collie and Animal Rescue,20580.0,20322.0
15800,British Waterfowl Association,20576.0,20202.0
130300,Friends of Towneley Park,20485.0,13584.0
