,regno,name,account_year,account_type,fys,fye,rpi_fye,income,expend,assets,income_rpi,expend_rpi,assets_rpi,employees,strata_code,strata,ICNPO,Region,LA,AOB,WhyExclude,gc_exclusion,in_sample,assets_source
110562,1114897,God's Children Empowered,2013-14,current,2013-04-01,2014-03-31,2014-04-01,25000.0,20812.0,,25000.0,20812.0,,,2.1,10k to 25k,Employment and training,London,Croydon,Overseas,0,0,,
97821,1096525,Sound Sense Respite and Entertainment Limited,2013-14,current,2012-04-06,2013-04-05,2013-04-01,24811.0,23447.0,,24811.0,23447.0,,,2.1,10k to 25k,Employment and training,Yorkshire and the Humber,Leeds,National,0,0,,
110702,1115083,A Place to Be Me,2013-14,current,2013-04-01,2014-03-31,2014-04-01,24650.0,29178.0,,24650.0,29178.0,,,2.1,10k to 25k,Employment and training,East Midlands,Rushcliffe,Local,0,0,,
19963,275040,The Mott Macdonald Charitable Trust,2013-14,current,2013-01-01,2013-12-31,2014-01-01,24632.0,119915.0,,24954.68996,121485.9389,,,2.1,10k to 25k,Employment and training,London,Croydon,National,0,0,,
107693,1110854,The Job Marston Centre,2013-14,current,2013-04-01,2014-03-31,2014-04-01,24547.0,30987.0,,24547.0,30987.0,,,2.1,10k to 25k,Employment and training,West Midlands,Birmingham,Local,0,0,,
134084,1149775,Integrated Professional Solutions,2013-14,current,2013-01-31,2014-01-30,2014-01-01,24500.0,23980.0,,24820.9607,24294.14847,,,2.1,10k to 25k,Employment and training,London,Wandsworth,Local,0,0,,
119742,1127859,Shair,2013-14,current,2013-01-01,2013-12-31,2014-01-01,24412.0,61378.0,,24731.80786,62182.0786,,,2.1,10k to 25k,Employment and training,South West,Wiltshire,National,0,0,,
89620,1082638,Blackpool Polar Bears,2013-14,current,2013-01-01,2013-12-31,2014-01-01,24344.0,16537.0,,24662.91703,16753.64192,,,2.1,10k to 25k,Employment and training,North West,Wyre,Local,0,0,,
124525,1137151,Red Balloon Learner Centre - Braintree,2013-14,current,2012-08-01,2013-07-31,2013-08-01,24330.0,28403.0,,24806.29644,28959.03156,,,2.1,10k to 25k,Employment and training,East of England,Braintree,Local,0,0,,
125424,1138516,Friends of Gateway,2013-14,current,2012-09-01,2013-08-31,2013-09-01,24301.0,25181.0,,24687.9586,25581.97134,,,2.1,10k to 25k,Employment and training,South East,Chiltern,Local,0,0,,
117355,1124304,"Amber Training, Advisory & Support Services",2013-14,current,2012-06-01,2013-05-31,2013-06-01,24268.0,31655.0,,24872.26345,32443.19679,,,2.1,10k to 25k,Employment and training,London,Hounslow,Local,0,0,,
96693,1094697,Dan's Den Project,2013-14,current,2012-10-01,2013-09-30,2013-10-01,24135.0,29045.0,,24519.31529,29507.5,,,2.1,10k to 25k,Employment and training,Wales,Conwy,Local,0,0,,
96819,1094903,Community Relief Project,2013-14,current,2013-04-01,2014-03-31,2014-04-01,24093.0,21064.0,,24093.0,21064.0,,,2.1,10k to 25k,Employment and training,London,Waltham Forest,Local,0,0,,
118651,1126112,Furniture for Education Worldwide,2013-14,current,2013-04-01,2014-03-31,2014-04-01,24049.0,17695.0,,24049.0,17695.0,,,2.1,10k to 25k,Employment and training,North West,Pendle,National and overseas,0,0,,
104692,1106612,African Women Group,2013-14,current,2013-04-01,2014-03-31,2014-04-01,23960.0,25888.0,,23960.0,25888.0,,,2.1,10k to 25k,Employment and training,London,Westminster,Local,0,0,,
86630,1077568,Asian Community Advice and Training Association,2013-14,current,2013-04-01,2014-03-31,2014-04-01,23948.0,23867.0,,23948.0,23867.0,,,2.1,10k to 25k,Employment and training,London,Barking and Dagenham,Local,0,0,,
121872,1132134,Fant Community Hall,2013-14,current,2013-01-01,2013-12-31,2014-01-01,23874.0,27316.0,,24186.75983,27673.85153,,,2.1,10k to 25k,Employment and training,South East,Maidstone,Local,0,0,,
133281,1148700,Workspring,2013-14,current,2013-03-01,2014-02-28,2014-03-01,23664.0,21697.0,,23747.7499,21773.78844,,,2.1,10k to 25k,Employment and training,Scotland,West Lothian,National,0,0,,
133001,1148355,Stockwell Skills Network Ltd,2013-14,current,2013-01-01,2013-12-31,2014-01-01,23622.0,35689.0,,23931.45852,36156.54148,,,2.1,10k to 25k,Employment and training,London,Islington,Local,0,0,,
