,name,income,expend
66988,Bangladeshi Islamic Society (Jami-Masjid) and Community Centre,25000.0,23272.0
130507,Eastside Centre,25000.0,19000.0
52513,The Peter Beckwith Charitable Trust,25000.0,20761.0
131389,Islamic Education Centre Birmingham,24995.0,24636.0
29066,Majlis-E-Qadaria Hazrat-E-Dewan Hazoori UK Overseas,24995.0,21333.0
114057,The Tannery Trust,24967.0,26613.0
24028,Friends of Alton Abbey,24927.0,44316.0
83052,Sanatan Cultural Society,24890.0,28397.0
29704,Calne Christian Bookshop,24875.0,19721.0
37746,Word of Life,24793.0,28223.0
111294,Telugu Community Association,24772.0,10877.0
19123,The Vicar's General Fund,24756.0,54567.0
117271,Linden Street Education Centre,24752.0,18557.0
132151,Sultania Education and Community Institute,24717.0,24502.0
102317,Contrasting Horizons Limited,24699.0,15976.0
15906,Pickford Trust,24695.0,56793.0
82897,Open Hands International,24674.0,25122.0
92808,Adumasa,24639.0,25487.0
12720,YWCA of Great Britain,24634.0,46419.0
86264,Friends of the Institute of Christ the King,24628.0,39828.0
14756,Lectureship Endowment of Edward Lewis,24628.0,35811.0
74608,Sasana Ramsi Vihara,24611.0,18978.0
100265,Ministry of Empowerment,24581.0,23754.0
127600,Zhen Quai Tang True Buddha School,24570.0,30812.0
77835,The Peace Trust,24563.0,23546.0
57960,London Christian Family Faith Tabernacle,24560.0,24500.0
103690,The Friends of St. Andrew's Church Box Hill,24547.0,32265.0
70374,Festival Church Trust Limited,24539.0,32887.0
52450,The Gospel in Action Trust,24535.0,18699.0
111603,Imam Reza Culturalcentre Limited,24533.0,27900.0
37418,Sarwar Jehan and Azra Khurshid Charitable Foundation,24530.0,28005.0
132861,Sarbojanin Baba Lokenath Association UK,24523.0,22653.0
125464,The Ricnic Trust,24508.0,22864.0
109411,Anatolia Cultural and Educational Society (Aces),24505.0,34451.0
69495,Frensham Baptist Fellowship Trust,24496.0,32181.0
122321,Gloucestershire Liberal Jewish Community,24493.0,18964.0
10989,The Fellowship of the Maple Leaf,24491.0,28249.0
112028,Potters House Christian Centre South Wales,24486.0,24523.0
57621,Willen Pavilion,24485.0,29855.0
100399,Baptist Twinning in Israel,24468.0,22750.0
54797,The Mijoda Charitable Trust,24435.0,19512.0
12378,Robert Barker or the Bridge House Trust (Church Branch),24434.0,14639.0
108354,The Ruby Hunt Trust,24422.0,14553.0
102634,Wern Chapel,24402.0,21584.0
114879,Life Giving Trust Ltd,24381.0,27594.0
90451,French Christian Community Bethel,24356.0,23737.0
56040,Newman Association,24356.0,45027.0
81822,The Trowbridge Islamic Trust,24354.0,28402.0
126650,Al - Raza Islamic Educational and Welfare Trust,24352.0,23726.0
73732,The Congleton Town Trust,24349.0,20312.0
15441,The T W Greeves Trust,24303.0,29885.0
117113,Lumen Maria,24302.0,24462.0
126571,Idarah Maruf Britain Limited,24297.0,4246.0
81087,The John Ray Initiative Limited,24289.0,20958.0
114890,Touchstone Projects,24280.0,24760.0
40413,St Swithuns Institute Charity,24261.0,24753.0
68677,"Greek Orthodox Community of St. Athanasios, Cambridge",24253.0,31254.0
113865,Earl of Chester's Fund,24250.0,28958.0
10304,Trust Property Held in Connection with Capel Coffa Congregation Chapel,24237.0,27213.0
85943,International Sufi School Khidmatul Khadim,24235.0,22901.0
5913,Godfrey Beaumont's Charity,24218.0,30888.0
112477,Rime Buddhist Foundation,24200.0,24060.0
93150,Friends of Kolel Daf Hayomi Trust,24196.0,23881.0
90770,Shri Guru Ravidas Mission(london),24181.0,17548.0
110273,Gilgal House Healing Centre Trust,24180.0,14283.0
132840,Starfish Christian Trust,24169.0,19454.0
109914,Sneh Sangam Day Centre 50 Plus,24143.0,19811.0
8691,Ringley Chapel Estate,24132.0,24132.0
41604,Underbank (Stannington) Chapel Charities,24117.0,9749.0
12063,Matilda Stainbank Bequest,24109.0,22101.0
7677,Oliver Lymes' Charity,24104.0,1240.0
110895,Syzygy Missions Support Network,24095.0,23813.0
62233,Lupton Tower Trust,24083.0,16414.0
134775,Saltaire Inspired Limited,24082.0,25251.0
101398,The Charity of Jamieson-Bystock,24079.0,16408.0
101612,Green Aid,24067.0,30635.0
130735,Changing Lanes Youth Ministries,24047.0,21389.0
108503,Inner Light Foundation Limited,24036.0,19261.0
27524,The Olive Press Publications Limited,24022.0,24177.0
53878,The Diamond Trust,24017.0,20850.0
13365,Ecclesiastical Charity of Sir Francis Nethersole,24000.0,23848.0
16884,The Walter Hubert Charitable Trust,24000.0,17190.0
52198,The Jesus Kingdom Trust,24000.0,13265.0
51793,Embassy Bible College,23988.0,24048.0
88949,Manchester Balfour Trust,23950.0,21055.0
22565,The Amherst Trust,23935.0,25102.0
69064,Friends of Kingsbury Mikveh,23919.0,25719.0
63101,"Friends of St Mary the Virgin, Hayes.",23873.0,26678.0
99281,Way of Glory Missions (Glory Filled Assembly) Trust,23856.0,21726.0
87914,Sikh Community Care Project,23850.0,27554.0
26492,Etherean Mission,23847.0,10516.0
24656,South Hants Bible Camps Trust,23839.0,23839.0
8507,St Crux Charity - Feoffment Estates,23836.0,12566.0
56143,Sheffield Schools Christian Worker Trust,23828.0,17518.0
94727,Ghanalink (Iw),23812.0,23991.0
13931,Charity of Edith Elisabeth Marie Wilshere,23772.0,25279.0
131290,Transformation CPR,23706.0,12175.0
122667,Papa's Park Ltd,23699.0,19014.0
98646,Cac Land of Mercy London UK Trust,23696.0,20832.0
107107,Christ Church Community Project,23687.0,25911.0
26009,Friends of Mengo Hospital,23672.0,22411.0
21671,The Ahmadiyya Anjuman Ishaat Islam Lahore (United Kingdom),23655.0,22544.0
83860,Impact Network,23648.0,17500.0
103363,Christian Initiative to Schools in Letchworth and District,23625.0,23188.0
78186,Anjuman Mohiban-E-Rasool,23624.0,7040.0
71574,House of Gur,23595.0,17500.0
132997,Shai Foundation,23582.0,29000.0
13258,Basildon Tablers Charitable Trust,23565.0,20155.0
94694,Yagya Bhoomi,23560.0,22125.0
114720,Light for Children Ltd,23558.0,15653.0
34761,Gibbon and Buckland Charity,23549.0,23531.0
113318,Just Help Foundation,23545.0,21483.0
96451,Chorley Muslim Trust,23505.0,22344.0
79325,Faith and Light,23503.0,28186.0
96266,Wilkie Charitable Trust,23494.0,22985.0
24396,The Greek Orthodox Community of Hastings,23484.0,32296.0
24741,Vanza Mandal,23473.0,25484.0
101813,Abbey Chapel,23471.0,21298.0
26795,Ecclesiastical Charities of John Wild of Edmonton and Others,23468.0,19966.0
75887,Friends House Moscow,23452.0,17810.0
54910,The J P T Charitable Trust,23444.0,21850.0
80656,Cornerstone Building Trust,23436.0,30952.0
129639,Crouch End Chavurah,23434.0,18976.0
78561,Markazul Uloom London,23423.0,23620.0
136151,Wainman Trust,23405.0,18332.0
93522,The May Gibson Charitable Trust,23394.0,55294.0
44354,Trust Property Held in Connection with Ebenezer Congregational Chapel,23370.0,27365.0
83993,Midland Kashattri (Taank) Society,23324.0,4380.0
15434,Gateshead Yeshiva Alumni Limited,23315.0,126358.0
95028,The Felix Trust,23303.0,41181.0
82169,Millennium Harvest Church,23302.0,18106.0
126613,Southampton Christadelphian Ecclesia,23297.0,31811.0
73707,The Friends of St Mary's Ashwell Hertfordshire,23295.0,26716.0
100199,Mid-Staffordshire Youth Net,23279.0,25921.0
16420,Maranatha Christian Trust,23271.0,197938.0
82221,St. Luke's Hall,23267.0,11913.0
57434,The Kingfisher Christian Camp Trust,23263.0,25523.0
44056,Ghausia Chistia Islamic Trust Academy,23257.0,16087.0
54814,Know Your Bible,23254.0,25319.0
81674,Mansfield Christian Book Centre,23214.0,26110.0
108072,Kingdom Love Christian Centre,23212.0,25130.0
130103,Rabimitz Ltd,23210.0,35752.0
118736,Plymouth Street Pastors,23196.0,20397.0
29222,Bancroft Meeting Place,23194.0,18174.0
11167,"Trust Funds and Property Held in Connection with Norton Baptist Church, Knighton",23185.0,34939.0
101456,Grace Temple International,23174.0,26177.0
107297,Project 5000,23174.0,25316.0
28052,Thanet and District Reform Jewish Synagogue,23156.0,24734.0
58577,Creation Resources Trust,23111.0,23287.0
14152,The Parish Rooms,23084.0,25389.0
113748,Zoe Maranatha Trust,23080.0,21322.0
63556,The Simon Trust,23066.0,184017.0
93174,Telford Buddhist Priory,23066.0,20502.0
108835,Anglican Religious Communities Development Trust,23064.0,22939.0
100458,The Smith & Pinching Charitable Trust,23063.0,32264.0
20141,National Association of Patidar Samaj,23060.0,17625.0
100951,Rev320,23054.0,20080.0
13403,Golders Green Unitarian Manse Trust,23029.0,15397.0
28355,Gentiles Revival Ministry,23029.0,23779.0
54956,Maha Lakshmi Vidya Bhavan,23011.0,11012.0
68545,Al-Tawheed (Tucf) Charitable Trust,22999.0,24492.0
28294,The Candap Trust,22983.0,18080.0
104418,Chiltern Christian Trust,22978.0,19048.0
83453,The Christ Well Community Project,22947.0,17390.0
85333,Redbridge Buddhist Cultural Centre,22929.0,18317.0
87477,The Farooqiyah Foundation,22914.0,1023.0
99317,Ninety Nine to One,22885.0,21991.0
73897,The Broadwater Outreach Trust,22829.0,24275.0
113163,Coleford Assembly Trust,22789.0,24109.0
68552,Dhammaloka,22789.0,22694.0
102339,Keren Mamosh (Our Future),22784.0,20560.0
121877,Bristol and S.W. U.K. Shambhala Meditation Group,22772.0,18187.0
86238,Children in Urban Situations Trust,22766.0,26717.0
109871,Signs of God,22734.0,9242.0
116848,Chabad Lubavitch (Leeds) Limited,22728.0,27529.0
102290,Church in the Barn,22711.0,13897.0
131361,Cbhuk,22705.0,23369.0
70181,Living Waters Fellowship,22705.0,24902.0
4154,The Sir Thomas Moulson Trust,22698.0,14680.0
109425,Life Centre (London),22693.0,23392.0
38889,Bishop Wilton Show,22686.0,21434.0
83186,The Old Meeting House Charity,22682.0,21701.0
86976,Manav Dharm Society,22657.0,39797.0
64472,Mission in Hounslow Trust,22650.0,15519.0
21613,Brahmarishi Mission,22648.0,20549.0
6142,The Whytecliffe Trust,22624.0,1323.0
22189,The Kelaty Charitable Trust,22616.0,38079.0
131695,Castle Education Trust Limited,22605.0,20241.0
99958,M and M Foundation,22600.0,7347.0
96725,The Voice of Truth,22597.0,22350.0
86065,The Foundations of Trust (F.i.),22591.0,23021.0
90251,Firelighters,22589.0,21461.0
100629,The Faith Health Project,22580.0,22540.0
128276,The Beacon Ecumenical Trust,22580.0,26370.0
13652,Radio Outreach,22562.0,16866.0
6924,Osborn Foundation Limited,22537.0,2872.0
72378,Shri Durga Bhawan,22505.0,38384.0
76014,Chichester Theological Trust,22476.0,22127.0
125527,Dar-Al-Arqam  (House of Arqam) Trust,22430.0,23289.0
65559,Beit Klal Yisrael,22427.0,34323.0
12097,The Reverend Doctor George Richards' Charity for Poor Clergymen,22425.0,20564.0
107746,Living Word Ministry Hull,22423.0,33953.0
135201,SVC Community Plus,22416.0,14077.0
124530,Gr8terworks,22408.0,21748.0
114292,Transform Work UK,22405.0,24002.0
66810,The Grand Duo Charitable Trust,22381.0,27711.0
104818,Victory Believers Church International,22344.0,22924.0
125840,The CMW Charitable Trust,22332.0,17659.0
36686,The Wychwood Charitable Trust,22324.0,23296.0
98862,Sri Lanka Islamic (Uk) Association,22319.0,27811.0
114610,"Friends of St Mary Magdalene, Shabbington",22310.0,8927.0
129149,Nigerian Islamic Community in Essex,22309.0,16021.0
95284,Pillars of Truth Ministry Trust,22305.0,22852.0
101915,Dunamis Trust,22296.0,23783.0
26844,The Kippin Trust,22290.0,24688.0
19055,The International Fellowship for Christ,22289.0,12698.0
89527,Comunidade Pentecostal De Londres Trust,22283.0,20940.0
128418,Ebenezer Fellowship Afmim,22265.0,20076.0
107506,His Bread,22263.0,28651.0
86006,The Tew Trust,22262.0,28835.0
15984,Forest Hill Christadelphian Ecclesia,22261.0,35047.0
70730,Teams of Our Lady - Great Britain Region,22259.0,23497.0
57734,Christian Enterprises Trust,22253.0,20202.0
111694,Amano Christian School Trust (Uk),22243.0,23946.0
18348,The Guthrie Essame Charitable Trust,22235.0,30657.0
54272,Corner Oak Trust,22227.0,38141.0
133120,Holiday Bible Week,22179.0,22363.0
52965,Focus on Israel,22173.0,37037.0
11278,Methodists for World Mission,22173.0,31801.0
8209,Disney Charity,22171.0,512.0
9975,John Robert Halkes Settlement,22162.0,17336.0
105434,Saint Alban Great Ilford Trust,22110.0,7344.0
124332,Taunton Team Chaplaincy Limited,22092.0,15999.0
27418,Indian Association Cheltenham Gloucestershire,22089.0,10184.0
65641,Shree Prajapati Association (Uk),22069.0,23677.0
23195,The Fineman Trust,22066.0,16730.0
82245,Association of Christian Writers,22066.0,22465.0
94373,Sanctaidd,22050.0,19851.0
110270,Iqra Education and Welfare Trust (Iewt),22050.0,21986.0
68814,Shree U K Luhar Gnati Mandal,22044.0,15704.0
42158,Shree Sarvodaya Samaj (U.k.),22042.0,26920.0
37842,The Shiloh Pentecostal Fellowship Trust,22016.0,1979467.0
121870,Hiraeth Charitable Trust,22016.0,15247.0
108061,Christian Worship Centre,21995.0,18730.0
105671,The Friends of Solesmes,21976.0,17860.0
130859,World Enlighters Ministries {Wem},21945.0,24341.0
124632,Goodwill786charity,21938.0,25646.0
36710,Dayan P Toledano Charitable Trust Limited,21919.0,11400.0
28761,The Dympna Centre,21900.0,20794.0
63438,Betty Martin Charity,21893.0,14375.0
102711,Trobwynt,21887.0,24781.0
133192,Powerchurch International,21865.0,21392.0
132680,Aylesbury Town Chaplaincy,21862.0,18225.0
59299,Nilgiris Trust,21830.0,28730.0
119615,Moldova Not Forgotten,21829.0,11139.0
88546,Venu,21827.0,9273.0
78053,The Trustees of the United Guilds Service,21820.0,16150.0
53695,The Robin and Inge Hyman Charitable Trust,21813.0,21160.0
99019,The Phoenix Farm Open Door Project,21775.0,25483.0
100688,Zulem Trust,21762.0,24115.0
92414,The Arnold Bequest,21753.0,23251.0
101126,Burbage Institute (Buxton),21748.0,13338.0
124642,Social Welfare and Education Centre,21742.0,21661.0
86824,The Bartimaeus Charitable Trust,21709.0,30000.0
119476,Green Masjid and Madrassah,21707.0,19821.0
77340,Father Crooks Charity,21702.0,24577.0
132639,Walsham Le Willows Open Gardens Trust,21686.0,10321.0
64897,Rooke Atlay Charitable Trust,21681.0,22330.0
12313,Community of Christ (Enfield),21658.0,17153.0
127872,Cosheston Mission Church,21648.0,23520.0
123897,Jamia - Al - Furqaan,21636.0,15074.0
27556,The Whitelands College Guild of St Ursula,21633.0,13386.0
21339,The Goldblatt Family Charitable Trust,21632.0,23999.0
132789,Lavendon Baptist Church,21614.0,23308.0
82729,Debden Pentecostal Mission,21611.0,10926.0
97067,The Mulberry House Trust,21596.0,23071.0
81224,Idara Isha-Atul Islam,21589.0,20305.0
97844,The Gary Landesberg Charitable Trust,21550.0,21979.0
89900,Mari Girgis Trust,21538.0,17000.0
9115,The Anglers Inn Trust,21526.0,22696.0
127458,Anba Karas Al-Sayeh,21509.0,19672.0
81811,Latin America Missions Trust,21489.0,27584.0
107800,Fleet Camps Trust,21481.0,19117.0
96983,Azharul Madaaris,21478.0,25748.0
12894,Endon Well Dressing Festival Charity,21477.0,20489.0
109206,The Kathor Muslim Society of UK,21474.0,13564.0
136183,Theo6,21465.0,8353.0
