,name,income,expend
120353,Corlan Charity,9931.0,1500.0
124619,New Dawn Association,9830.0,7217.0
130943,The Association of Professional Sri Lankans in the UK (Apsl),9790.0,9360.0
134067,Foundation for Knowledge Exchange,9766.0,7637.0
136482,Colchester Nepalese Society,9740.0,3190.0
115460,Keswick and District Fair Trade Campaign,9694.0,9690.0
118049,Abul Qasim Fund,9455.0,8600.0
135167,Jamaica Ex-Soldiers Association UK,9448.0,6480.0
13773,The British Biophysical Society,9342.0,21636.0
121159,Cyrraedd Cyfiawnder Cymru: Reaching Justice Wales,9272.0,14119.0
135980,Humanity Direct Trust,9223.0,14712.0
136116,Thirsk8 Park Ltd,9091.0,8612.0
111015,Recovery Industry Support Charity,8876.0,7892.0
128071,Harrow Elders Group,8806.0,7908.0
136790,Zy Gemach Limited,8779.0,0.0
124846,Wabxo Somali Support Assosation,8654.0,7453.0
4597,The Chartered Insurance Institute Prize Fund,8594.0,6312.0
124094,Sympathy,7844.0,9256.0
135212,New Day BG,7539.0,7761.0
127064,Golden Futures,7508.0,5015.0
136186,Pragati UK,7463.0,0.0
123592,Society of Divine Vocations (England & Wales),7424.0,100.0
126642,Sporting Challenge,7311.0,13415.0
12468,The Bolton Medical Institute Limited,7291.0,11569.0
8749,Tiverton Agricultural Association,7228.0,5573.0
119117,The Simpson Mccreath Trust,7200.0,12996.0
133890,Seqol - Charity,7125.0,2720.0
63351,The Oxford Down Sheep Breeders' Association,7036.0,6020.0
133562,Duxplay,6838.0,1291.0
125457,Reflection Path,6705.0,7156.0
134822,Building Future,6500.0,5300.0
896,The British Institute of Embalmers Memorial Trust,6415.0,3150.0
113272,Leap,6273.0,6312.0
133738,Military Debt Help (Uk),6150.0,4959.0
118681,Education Way,6096.0,6095.0
124698,Insight,5972.0,3463.0
3943,Association of Visually Impaired Chartered Physiotherapists,5636.0,23321.0
741,The Bristol Corn Trade Guild,5530.0,4826.0
134006,Education Exchange,5385.0,6241.0
125731,Tai Chi for Health,5353.0,4670.0
135444,Hopeworx,5352.0,715.0
124421,Bourne Charity,5037.0,91177.0
136027,Taplejung Society UK,5007.0,3215.0
118731,Afrolatino,5000.0,5000.0
135270,The Funding Exchange,5000.0,4000.0
135311,The Spalter Trust,5000.0,0.0
