,name,income,expend
124749,African Cultural Exchange Limited,499624.0,319616.0
133424,The Leslie Sports Foundation,499571.0,82841.0
92608,Ashbrooke Sports Club Limited,499403.0,516200.0
75656,Kala Sangam the Academy of South Asian Performing Arts,497220.0,558731.0
60674,Peacock Gymnasium,496356.0,489507.0
96220,Safe and Sound Group,496088.0,408839.0
110051,Gabrieli,493634.0,418122.0
111943,Stopgap Dance Company,493364.0,527492.0
80579,Paintings in Hospitals,492584.0,495238.0
135330,Aldeburgh Cinema Trust,492382.0,380724.0
127151,Army Sailing Association,492281.0,277725.0
84009,The Rona Trust,491370.0,462192.0
20145,English Schools' Athletic Association,490652.0,536721.0
91165,People's Palace Projects,489585.0,771190.0
105489,City of Newcastle Gymnastics Academy Limited,489005.0,427302.0
116668,Activate Community and Education Services,488753.0,478254.0
90441,Stagetext,488732.0,521598.0
108780,Link Ethiopia,488565.0,525962.0
37743,Mind the Gap,488137.0,526850.0
54925,Axis Web,487185.0,454685.0
21893,Actors Touring Company (London) Limited,487155.0,431986.0
78558,Immediate Theatre,487072.0,451946.0
69458,The Arts Catalyst,485992.0,513073.0
21330,The Guards Museum Trust,483431.0,357282.0
34784,The Powell-Cotton Museum,482926.0,739390.0
134508,Arundel Castle Cricket Foundation,480249.0,196998.0
96839,Lux,479759.0,504533.0
9597,The Charles Halle Foundation,479604.0,308654.0
53789,Welshpool and Llanfair Light Railway Preservation Co. Limited,479476.0,595160.0
81991,The Lightwater Playing Field Association Limited,479350.0,477126.0
105149,Fisherbeck Charitable Trust,479022.0,489318.0
65697,Altrincham Garrick Society Limited,477659.0,498454.0
118310,Rhythmix,476825.0,476280.0
23833,The Higginson Park Charity,475541.0,673596.0
73815,The Citadel Arts Centre,475534.0,475059.0
102292,Armonico Consort Limited,475101.0,439311.0
27469,Community Music Limited,474633.0,431846.0
117652,The Bristol Festival Community Group,473098.0,674683.0
82133,Activate Performing Arts,472979.0,456260.0
78980,The Dorset Natural History and Archaeological Society,472298.0,541076.0
119200,Swansea City Afc Community Trust,471189.0,282550.0
93213,Sampad (South Asian Arts Development),471098.0,459027.0
125400,South West Music School,471085.0,466615.0
87098,Hijinx Theatre,470626.0,407839.0
113257,New London Performing Arts Centre Limited,470020.0,431337.0
82405,Riding Lights,469655.0,483233.0
101295,South Dorset Community Sports Trust Limited,468951.0,423302.0
79200,Humphrey Richardson Taylor Charitable Trust,467681.0,452298.0
17759,The Hampshire Buildings Preservation Trust Limited,467126.0,454113.0
119673,Autograph Abp,466978.0,481957.0
79465,Classical Opera,466003.0,511594.0
16126,The Bubble Theatre Company Limited,462432.0,439251.0
116751,Grimsby Town Football in the Community Sports and Education Trust,462235.0,474615.0
81562,The Priest's House Museum Trust,461171.0,234351.0
12907,Brighton and Hove Philharmonic Society Limited,460518.0,347470.0
65583,Drake Music,459983.0,489893.0
10985,Georgian Theatre Productions Ltd,459163.0,427380.0
116477,Luton Town FC Community Trust,459091.0,417599.0
132955,The Military Wives Choirs Foundation,458283.0,459440.0
112072,"The Regimental Charity of the Duke of Lancaster's Regiment (King's, Lancashire and Border)",458094.0,354556.0
98031,The Beat Project Ltd,457734.0,395495.0
56533,Community Music Wales/Cerddoriaeth Gymunedol Cymru,457727.0,411037.0
34602,Oates Memorial Library and Museum and the Gilbert White Museum,457230.0,438498.0
28239,The Fan Museum,455899.0,240389.0
97234,Somerset Film and Video Ltd,455868.0,341096.0
14529,Buxton Civic Association Limited,455667.0,456817.0
117775,Sapphire School of Gymnastics Ltd,454925.0,412526.0
71488,Eric and Salome Estorick Foundation,454890.0,385845.0
11697,The Crescent Theatre Limited,453345.0,484403.0
37549,NMC Recordings Ltd,452459.0,406516.0
114395,Arnos Vale Cemetery Trust,451136.0,427633.0
68705,Bodelwyddan Castle Trust,450899.0,462277.0
118933,Leicester City Football Club Trust Limited,450864.0,442462.0
29478,Camberley Gymnastics Club,450390.0,420948.0
55389,The Sulgrave Manor Trust,449887.0,315484.0
73480,Hackney Music Development Trust,449086.0,554023.0
88200,Rmig Endowment Recreation,448593.0,459303.0
104714,The Kimmeridge Trust,446514.0,42227.0
31108,Broomfield Village Hall Charity,446399.0,445944.0
71705,The Mid-Norfolk Railway Preservation Trust,446296.0,372753.0
3062,Theatre Centre Limited,446294.0,486332.0
29601,Take Art Limited,445713.0,453346.0
52316,198 Contemporary Arts and Learning Ltd,445240.0,438332.0
41822,Yorkshire Museum of Farming Limited,444994.0,389296.0
94026,Sheringham Little Theatre Society,444337.0,505012.0
99992,Chichester Cinema at New Park Limited,444080.0,434982.0
69937,Mid Wales Opera Limited,443665.0,455238.0
3700,Keats - Shelley Memorial Association (Incorporated),443122.0,354997.0
89392,Association of Independent Museums,441742.0,404261.0
27114,Theatre Development Trust,439731.0,409340.0
116103,One in a Million (Sports),439331.0,412817.0
76999,New Perspectives Theatre Company,439233.0,426119.0
83008,Haslemere Educational Museum,438881.0,261231.0
117859,The Guildford Institute,438665.0,221555.0
132817,Young Dancers Charitable Academy Limited,438472.0,437925.0
136631,The Banbury Museum Trust,438451.0,198714.0
130053,Departure Foundation,437996.0,452917.0
43404,South Tynedale Railway Preservation Society,437040.0,338556.0
97003,House of Illustration,436581.0,223616.0
109042,North Notts Community Leisure Limited,436020.0,477079.0
114919,The Literary and Philosophical Society of Newcastle-Upon-Tyne,434614.0,415663.0
79895,Cooltan Arts,434516.0,425959.0
44542,Kenton Park Community Association,434153.0,497058.0
125680,The Royal Mint Museum,433164.0,440041.0
113024,Hull FC Rugby Community Sports & Education Foundation,432489.0,417857.0
57731,Shobana Jeyasingh Dance Company,432204.0,497813.0
9294,Maddermarket Theatre Trust Limited,431243.0,489006.0
41114,Tyne and Wear Building Preservation Trust Limited,430645.0,389438.0
80101,The Clod Ensemble,429851.0,465919.0
2886,Royal Asiatic Society of Great Britain and Ireland,429651.0,407013.0
38783,Impressions Gallery of Photography Limited,429501.0,411044.0
89396,Studio Voltaire,426301.0,426253.0
118458,Creativity Culture and Education,426204.0,919175.0
