,name,income,expend
2523,The People's Dispensary for Sick Animals,96562000.0,97162000.0
7401,Dogs Trust,76560000.0,71244000.0
6278,The Royal Horticultural Society,71937000.0,62607000.0
88849,WWF - UK,59980000.0,58622000.0
129607,The Energy Saving Trust Foundation,55042000.0,54265000.0
1148,Cats Protection,43983000.0,35664000.0
27826,The Woodland Trust,33394000.0,26649000.0
16247,The Donkey Sanctuary,30722000.0,27427000.0
6675,Blue Cross,29493000.0,31571000.0
89202,World Animal Protection,27892000.0,28981000.0
64116,Wildfowl and Wetlands Trust,24363000.0,19294000.0
95696,The Eden Trust,23265274.0,23926766.0
1971,Battersea Dogs' and Cats' Home,22749851.0,23929148.0
15193,The Conservation Volunteers,21967000.0,20791000.0
101030,UK Biobank Limited,21785291.0,15733027.0
61405,International Fund for Animal Welfare (Ifaw),20890879.0,20495136.0
26705,The Federation of Groundwork Trusts,19402466.0,21859870.0
91238,The Brooke Hospital for Animals,17730533.0,17549941.0
69302,Birdlife International,16412142.0,14118759.0
56882,Fauna & Flora International,16410011.0,17519600.0
2236,Royal Society of Wildlife Trusts,15754000.0,15023000.0
97829,Viridor Credits Environmental Company,14874203.0,10029476.0
80766,Marine Stewardship Council,14400018.0,12851832.0
2889,Animal Health Trust,13321000.0,13474000.0
134174,Caribbean Biodiversity Fund,12869508.0,293790.0
73298,The Pony Club,12093122.0,11861812.0
34459,The Whitley Wildlife Conservation Trust,11665684.0,10599904.0
30856,South West Environmental Parks Limited,11607417.0,10568733.0
2113,The Soil Association Limited,11349179.0,10423032.0
100700,The Howletts Wild Animal Trust,10883507.0,11074280.0
26312,National Energy Action,10779255.0,10721106.0
115036,Groundwork London,10436027.0,9936360.0
81749,Redwings Horse Sanctuary,10414544.0,8648706.0
3119,The British Horse Society,9901691.0,9931315.0
