,name,income,expend
102712,Matchbox Day Nursery Limited,953750.0,938754.0
130389,Acorn Childcare 2,944737.0,895406.0
109066,Five Children and Families Trust Ltd,942123.0,908928.0
105317,Kelton Nursery,941531.0,970634.0
115720,Beaver Community Trust Ltd,813941.0,838785.0
57270,Conewood Street Children's Centre,799288.0,820379.0
73578,Basingstoke Amateur Gymnastics Club,794314.0,799363.0
59752,Highbury Community Nursery,784802.0,737397.0
83695,Gumboots Community Nursery,760823.0,618474.0
105701,Families First Bedfordshire,754391.0,773113.0
77028,Woodford Schools Trust,737098.0,690465.0
54787,Camden Community Nurseries Limited,736934.0,815992.0
27141,Yesodey Hatorah Nursery,732850.0,701714.0
81212,Minik Kardes Ltd,719412.0,609705.0
134422,Grendon and Billesley Nursery and Family Centre,715922.0,692390.0
41944,The Gateshead Jewish Nursery,708092.0,740149.0
73718,Auden Place Community Nursery,690519.0,686191.0
57951,Hawks Road Community Nursery Limited,663905.0,561794.0
45450,Priority Area Playgroups,651603.0,684124.0
120967,HQ Hereford Garrison Clocktower Fund,648282.0,359442.0
112953,Over Hall Community Enterprises Limited,643220.0,603123.0
86493,Hope for Children and Their Families Limited,641870.0,558224.0
105220,Ireland Wood Children's Centre,641213.0,560880.0
77765,Easton Community Childrens Centre Limited,637628.0,599152.0
57019,Blackshaw Nursery,635925.0,636017.0
67797,Crank Nursery Limited,635372.0,594065.0
101445,Gateway (Education & Childcare) Trust Limited,605345.0,615104.0
130196,Little Echoes Day Nursery Ltd,588685.0,350999.0
121358,Oak Hill Community Nursery,573186.0,542799.0
67267,Mires Beck Nursery,550897.0,526452.0
92057,Gingerbread Cottage Playgroup,532728.0,435657.0
130088,Sunshine Day Nursery,530323.0,461745.0
24526,Joint Colleges Nursery (Cambridge) Limited,528385.0,543008.0
94497,WLS Early Childhood Centre,512218.0,490681.0
115280,Harvey Road Day Nursery Limited,508497.0,481727.0
90911,Rainbow Community Nursery,503460.0,502306.0
18430,Ace Nursery School (Cambridge) Limited,497647.0,461036.0
81676,Royal Air Force Coningsby Nursery Centre and Kids' Club,494678.0,472434.0
