,name,income,expend
107322,Communities Into Training and Employment,494599.0,491433.0
88445,Smart Works Charity,491571.0,326470.0
19651,Sigta Limited (Southern Industries Group Training Association),490778.0,472716.0
26271,Waltham Forest Chamber of Commerce Training Trust Limited,489143.0,713528.0
133408,Fair Train (Group Training Association) Limited,488447.0,180461.0
107888,Moto in the Community,478677.0,377509.0
75928,Black Training and Enterprise Group,477376.0,453223.0
107064,Inspirations,471196.0,472846.0
113577,Keystone Accountability,471166.0,515488.0
37399,The Independent Dancers Resettlement Trust,466609.0,462246.0
130601,Newcastle Carers,462529.0,389802.0
51492,North Humberside Motor Trades Group Training Association,460476.0,410924.0
119954,Elevation Networks Trust,454699.0,441541.0
56864,Key Enterprises (1983) Ltd,450924.0,477835.0
125076,Wakoos Centre4children Ltd,450390.0,456726.0
65072,Lineham Farm Childrens' Centre,448637.0,496277.0
120001,Ksa Education & Training,444891.0,369599.0
63973,Education Business Partnership West Berkshire Limited,444774.0,529136.0
130061,The Smarterbuys Store Limited,441749.0,438974.0
87831,London Training and Employment Network (L10),437933.0,490177.0
130464,Changing Paths Charitable Trust,437004.0,484152.0
114190,Women's Health in South Tyneside,435468.0,293860.0
92802,Play Right/Chwarae Iawn,435198.0,406800.0
61403,East London Small Business Charity Limited,432828.0,495038.0
44904,View (Glynneath) Limited,428669.0,457123.0
25533,East Kent Itec Ltd,426415.0,431913.0
95999,The Bulmer Foundation,421776.0,388854.0
103335,HBV Enterprise,420163.0,479069.0
121859,Barka UK,416056.0,451459.0
21396,Thames Valley Adventure Playground Association,412448.0,392883.0
9865,The Belling Charitable Settlement,410601.0,423696.0
70433,The Angelou Centre,408420.0,299483.0
70286,The Hiram Trust,408418.0,32692.0
82637,U Can Do I.t. (Internet Training),403854.0,391752.0
133640,Horden Centennial Centre (HCC),402760.0,404676.0
91704,Bang Edutainment,394830.0,394171.0
71123,South Tyneside Training and Enterprise Network Limited,393139.0,400227.0
86954,Toucan Employment,390447.0,363827.0
124050,Lindisfarne Regional Training Partnership,386055.0,374074.0
111324,Startuponline,380561.0,264358.0
106051,Get U Started Training Limited,379871.0,333948.0
21608,Reach Volunteering,379415.0,306190.0
111044,Snoop,378427.0,308713.0
53855,Manor Training and Resource Centre Ltd,370106.0,366181.0
104453,As-Suffa Trust,369535.0,85287.0
118341,The Adab Trust,367947.0,325981.0
94426,Spiral Sussex,349382.0,348464.0
129759,North Lynn Discovery Limited,348914.0,319955.0
108655,Hanifah Community Initiative,346714.0,359378.0
130835,Croydon Business Venture Limited,346119.0,331128.0
52886,The Medway Education Business Partnership Limited,345686.0,353137.0
123637,Preston Vocational Centre Ltd,341795.0,341811.0
111247,Vista Education and Training Limited,339005.0,338684.0
114740,Jobs Education & Training,337705.0,356689.0
101840,Signpost (Colchester) Limited,336805.0,329973.0
117917,The Switchback Initiative,334935.0,298374.0
79568,Head to Head Training,334550.0,325556.0
26196,Kent Enterprise Trust Limited,334130.0,431327.0
120929,Opportunities for Adventure Knowledge and Skills Ltd,326239.0,315254.0
87939,Norpro Training Ltd,322468.0,335527.0
91321,The Stockwell Partnership Limited,321017.0,312960.0
72506,The Prospects Trust,319762.0,268844.0
78850,Interplay (Integrated Play and Leisure),318240.0,298314.0
126583,Prime Cymru,315429.0,360301.0
84493,All Saints Centre for Employment and New Directions Limited,314937.0,297246.0
98379,Pay & Employment Rights Service (Yorkshire) Limited,312715.0,319988.0
117303,Pata (Uk),311618.0,385369.0
94133,Looe Development Trust,308921.0,326287.0
97002,Acorn Community Care,308275.0,298062.0
56022,Yorkshire Proficiency Test Committee,307808.0,288512.0
121311,Sunderland Black and Minority Ethnic Network Limited,306465.0,300397.0
93919,Mountain Training UK Inc. Ltd,305167.0,288877.0
80069,Lincoln Community Development Worker Project,301164.0,365323.0
125612,The Pirate Castle,300511.0,340922.0
84115,Opportunities Shop Ltd,299776.0,322092.0
81648,Royal Engineers Vocational Education and Training Trust,299061.0,573732.0
123153,Beis Trana School of London Limited,297667.0,323843.0
112052,Sir William Beveridge Foundation,295513.0,152023.0
56116,The Island Partnership,295339.0,229753.0
120310,The Humanitarian Forum,294795.0,600885.0
52907,Tendring Hundred Farmers' Club,293691.0,265990.0
77847,Opening Doors,290804.0,278072.0
123385,Northleigh House School Ltd,289187.0,193286.0
43107,Appris Charity Limited,284415.0,196478.0
71557,Lawrence Weston Community Farm,284285.0,231677.0
134107,Towers Tiny Tots,280792.0,273234.0
89472,Christel House Europe,278265.0,274942.0
82447,Red Balloon Learner Centre - Cambridge,270838.0,294082.0
52165,Cambridge Womens Resources Centre,270274.0,272251.0
100366,Narthex Sparkhill,266705.0,269287.0
78700,The Whitehawk Inn,262716.0,271506.0
39829,Monmouthshire Show Society Limited,258852.0,211261.0
118663,@ The Rock,257000.0,288000.0
124187,Natural Ability,256009.0,256009.0
56153,Community Resource Services,255496.0,256980.0
120870,Glyndon Community Group,254884.0,265381.0
92588,Moseley Community Development Trust,254255.0,276610.0
79547,Ddeaflinks - Staffordshire,253076.0,363825.0
27494,E L M V Shadwell Basin Project,250612.0,292842.0
95895,Foxhill Forum Limited,248812.0,199727.0
2336,Association of Physicians of Great Britain and Ireland,248556.0,267635.0
133914,The Mix Stowmarket Ltd,247856.0,145334.0
113857,University of the Third Age in Cambridge (2007),246994.0,242707.0
123843,Operation Orphan,245330.0,234147.0
27085,Marbeh Torah Trust,244950.0,243451.0
112135,Jet Jobs Education and Training,244131.0,272303.0
85555,Shantona Womens Centre,243866.0,253328.0
111930,Brymbo & Tanyfron Regeneration Trust,243532.0,379582.0
117593,Skills Active Forward,242681.0,243981.0
108881,Mentoring Plus Bath and North East Somerset,241599.0,245649.0
115511,Strand Parishes Trust,240115.0,165719.0
41503,Mid and North Wales Training Group Limited,239122.0,286717.0
37592,The Squires Foundation,238755.0,184703.0
58409,Ideas Plus,238336.0,206884.0
110345,Etc Youth Ltd,236480.0,236769.0
117377,Whitwick Community Enterprises,236376.0,263005.0
107043,Red Balloon Learner Centre NW London,235399.0,245633.0
108772,Morden Islamic Centre,233718.0,217390.0
125230,Blyth Tall Ship,229306.0,127030.0
77268,Life Education Centre for Lancashire,228747.0,227351.0
